nombre,run,dv,correo,contrasena,nombre_usuario,telefono_contacto,jornada,isapre,contrato
"Carlota Delrío Tamayo",24362026,0,carlota6867@viajes.cl,uy7uUBFjvrniK,carlota6119,"+56 9 4668 6096",Nocturno,Consalud,"Part time"
"Sta. Florencia Treviño Guerra",10523471,6,Sta.guerra@viajes.cl,HoJsz9QoGOOF271L,Sta.guerra,"+56 2 4845 4691",Diurno,Banmédica,"Full time"
"Sta. Jacobo Barajas Sepúlveda",12449098,7,sta.5767@viajes.cl,vNEv3pSD4,sta.6702,+56-2-3368-2227,Diurno,Banmédica,"Full time"
"Rocio Archuleta Cortés",16926026,5,rocio547@viajes.cl,C11vgfPY4zdA3g,roarco,"+56 9 2539 2925",Nocturno,"Más vida","Part time"
"Elsa Moreno Orosco",16755306,0,elmoor@viajes.cl,7iSdjg4bQ,Elsaorosco,"+56 2 0081 7486",Diurno,"Más vida","Part time"
"Gabriel Pichardo Altamirano",8101179,6,gabriel3001@viajes.cl,9f9MPFcgz,gabriel9464,"+56 9 8551 2955",Diurno,Colmena,"Full time"
"Ana Luisa Rodarte Corrales",18239521,8,anluroco@viajes.cl,cNl6k9mxyDRFwSLu,ana3810,"+56 2 0255 6115",Nocturno,Fonasa,"Part time"
"Marcela Espinosa Haro",21767927,3,maesha@viajes.cl,Evc7wKaELBg0W,marcela7666,"+56 9 2637 1260",Nocturno,Colmena,"Part time"
"Soledad Caballero Escamilla",24831412,5,socaes@viajes.cl,1cPiMCFWhKbL4M,soledad7142,"+56 2 9104 8401",Diurno,Colmena,"Full time"
"Marilu Peralta Regalado",13519219,8,marilu7833@viajes.cl,JqGp8A5k78,marilu1121,"+56 9 0436 4730",Diurno,Colmena,"Part time"
"Carlos Rocha Cortez",4315270,0,Carloscortez@viajes.cl,28jJOGJzc9uqt,carlos5097,"+56 2 4865 3436",Nocturno,"Más vida","Part time"
"Sr. Rebeca Gamez Montalvo",14533506,0,Sr.montalvo@viajes.cl,eBffCeGYLidBf3,srregamo,"+56 2 5450 2984",Nocturno,Banmédica,"Part time"
"Sofia Ríos Vélez",25907101,1,sofia3359@viajes.cl,G2t0A9etCB428,Sofiavélez,"+56 2 9654 8059",Diurno,"Más vida","Full time"
"Gregorio Muñiz Carvajal",11618170,3,grmuca@viajes.cl,zaeby9IARMU8,gregorio2641,"+56 9 2867 7775",Nocturno,Fonasa,"Full time"
"Juan Carlos Cepeda Montalvo",14564798,3,juan7630@viajes.cl,v0gsUYLrBnK5csf,Juanmontalvo,"+56 2 0593 0166",Nocturno,"Más vida","Part time"
"Gonzalo Alcala Garza",10757545,6,Gonzalogarza@viajes.cl,JSedyIaWQd4m8bFg,gonzalo3723,"+56 9 5622 5908",Nocturno,Consalud,"Full time"
"Manuela Melgar Vega",10244304,7,Manuelavega@viajes.ceele,yjI4BvKIYMhX9z,Manuelavega,"+56 2 8905 5369",Diurno,Fonasa,"Full time"
"Sr. María Teresa Ríos Orosco",12465598,6,Sr.orosco@viajes.cl,jIwD58777lxQ,srmateríor,"+56 2 2935 4496",Diurno,Banmédica,"Full time"
"Marta Urías Cruz",16928843,7,marta9699@viajes.cl,vAUiEvlWt0v,marta572,"+56 9 4814 2071",Diurno,Consalud,"Part time"
"Lola Berríos Alcaraz",4943023,0,lobeal@viajes.cl,xOn7YBc00rJ66puL,lobeal,"+56 2 8828 9826",Nocturno,Fonasa,"Part time"
"Florencia Rodríquez Cabán",14703951,4,florencia8331@viajes.cl,WlE311ErDpqwpiv,flroca,"+56 9 8492 2666",Diurno,Fonasa,"Part time"
"Sr. Santiago Adorno Magaña",20646661,8,sr.3249@viajes.cl,75zVSZ7bs5T,Sr.magaña,"+56 2 5013 8411",Nocturno,Fonasa,"Part time"
"Jaime Solorio Quintanilla",27597566,4,jaime2963@viajes.cl,nHsdvHDWMteqNa7,jasoqu,"+56 9 9283 0200",Diurno,Fonasa,"Part time"
"Benito Ballesteros Villagómez",26886249,8,BenitovillagOImez@viajes.cl,08Ii62Uyo,benito7237,"+56 2 7555 1554",Nocturno,"Más vida","Full time"
"Gabriela Linares Arias",28580640,2,gabriela2800@viajes.cl,JlqpAu6VMnJ,gabriela9687,"+56 2 6348 4718",Diurno,"Más vida","Part time"
"Manuela Haro Carvajal",13339860,0,mahaca@viajes.cl,SZdqfKP1Tf,manuela4412,"+56 2 4968 2493",Diurno,Colmena,"Part time"
"Enrique Adorno Coronado",11217677,2,enrique5385@viajes.cl,j2WdwueHIf,Enriquecoronado,"+56 2 9358 5883",Diurno,Colmena,"Part time"
"Ramona Baeza Delacrúz",16506170,5,rabade@viajes.cl,HJk5oHuXMlt,ramona1424,"+56 2 8743 6801",Nocturno,"Más vida","Part time"
"Sr. Elsa Bustamante Garay",20567221,4,srelbuga@viajes.ceele,sLnXlZQ7,sr.5150,"+56 2 5343 5466",Diurno,Fonasa,"Full time"
"Raúl Montalvo Valenzuela",10634979,7,ramova@viajes.cl,OJIZinekS5wzXR,ramova,"+56 9 0328 5333",Nocturno,"Más vida","Full time"
"Victoria Rubio Grijalva",29697243,6,victoria9870@viajes.cl,dzyRoY3iC,virugr,"+56 2 0488 3755",Nocturno,Fonasa,"Full time"
"Sra. Mayte Villarreal Negrón",22696528,9,Sra.negrOIn@viajes.ceele,Y9SAtel4FRWzw5,srmavine,+56-9-7234-9585,Diurno,Consalud,"Part time"
"Mateo Santiago Malave",28559742,0,mateo8064@viajes.ceele,XWh5L7uv,Mateomalave,"+56 9 2626 7914",Nocturno,Colmena,"Part time"
"Ana Luisa Granado Espino",16670899,0,ana4570@viajes.cl,J1fEXLzB0xGFksYP,ana180,+56-9-5943-1847,Nocturno,Fonasa,"Full time"
"Sr. Micaela Cervantes Toledo",7894309,2,sr.3908@viajes.ceele,zSTXmjADavDz58o,srmiceto,+56-2-9412-6405,Diurno,Banmédica,"Part time"
"Sra. Débora Burgos Maldonado",16584801,2,srdOobuma@viajes.cl,mcGaI5yylNFRR,sra.7494,"+56 2 2627 4966",Nocturno,Fonasa,"Full time"
"Jaime Naranjo Soliz",17985777,4,jaime8707@viajes.cl,IHFgAget28Wm38,Jaimesoliz,"+56 2 6405 8383",Diurno,Consalud,"Part time"
"Felipe Meza Juárez",26109320,0,felipe8253@viajes.cl,MdRG7Y3tZxJ,felipe4554,"+56 2 2452 0461",Nocturno,Colmena,"Part time"
"Sta. Daniel Mercado Cuellar",26200846,0,Sta.cuellar@viajes.ceele,ffVpAP1ctSP,Sta.cuellar,"+56 2 8754 2579",Diurno,Colmena,"Part time"
"Felipe Almaraz Becerra",25182937,3,felipe6550@viajes.cl,sVG7BnKf0,Felipebecerra,"+56 9 4881 8560",Nocturno,Consalud,"Full time"
"Alejandra Muñoz Godínez",8268474,3,AlejandragodOAnez@viajes.cl,s57DMKpjxs,almugo,"+56 9 3200 9213",Diurno,Fonasa,"Full time"
"Lucas Lerma Tijerina",27317944,5,Lucastijerina@viajes.cl,lFTCqni99cxjDj,luleti,"+56 9 3412 4031",Diurno,Fonasa,"Part time"
"Ester Pabón Guevara",26017076,7,espagu@viajes.cl,U0Af25R0rptSzP,espagu,"+56 2 3980 9384",Nocturno,Consalud,"Full time"
"Jorge Roque Aragón",16713546,3,joroar@viajes.cl,zen8hqGjF71,jorge7818,"+56 2 0771 4362",Diurno,"Más vida","Full time"
"Sta. Luis Baca Galarza",27458651,6,Sta.galarza@viajes.ceele,t2Crpzk59UvVjRw6,sta.3353,"+56 2 4934 2160",Nocturno,Colmena,"Full time"
"Luis Sandoval Manzanares",28404293,0,lusama@viajes.cl,ACzuO2WEpC0sm,luis5038,+56-2-1557-8287,Diurno,Colmena,"Full time"
"Eva Hernandes Candelaria",7703237,1,evheca@viajes.cl,fTLD6lA2m,evheca,"+56 2 8948 9861",Nocturno,Banmédica,"Part time"
"Sra. Gloria Villareal Monroy",16794455,8,sra.7674@viajes.cl,xdk3qUuTNYSW,sra.6144,"+56 9 2021 8147",Nocturno,Banmédica,"Part time"
"Maricarmen Delvalle Amador",24139074,8,maricarmen9617@viajes.cl,1NBDI8GAQsJgy4,Maricarmenamador,"+56 2 2103 8920",Nocturno,Banmédica,"Full time"
"Benito Lozano Armas",29629206,0,beloar@viajes.cl,UsZKhsbj61fLFV,benito1076,"+56 9 1547 6534",Diurno,"Más vida","Part time"
"Jerónimo Piña Villaseñor",24644817,5,jerOInimo8065@viajes.cl,34GDdsOY,jerónimo1730,"+56 9 0592 4580",Nocturno,"Más vida","Full time"
"Benito Griego Zayas",21365267,2,begrza@viajes.ceele,uwR2UHiUsI4AuE8,benito4251,"+56 2 0279 0855",Diurno,Colmena,"Full time"
"Lorena Gálvez Bétancourt",25556050,6,lorena2939@viajes.cl,HnMOgBjm0,lorena6307,"+56 9 1998 1093",Nocturno,Colmena,"Part time"
"Ángela Bétancourt Ureña",913145,0,Oengela6761@viajes.cl,noWGZKj1w,ánbéur,+56-9-5544-4683,Diurno,"Más vida","Full time"
"Mario Cotto Ontiveros",20478464,7,mario5515@viajes.cl,gwI27kmEFz,macoon,"+56 2 7146 0897",Nocturno,Banmédica,"Part time"
"Sr. Claudio Núñez Agosto",20701122,3,Sr.agosto@viajes.cl,H1ni28FPvJN,Sr.agosto,"+56 2 3200 2919",Diurno,Consalud,"Part time"
"Julio Zepeda Montoya",2155675,0,juzemo@viajes.cl,Y1rXb70XF99kAjY,juzemo,"+56 9 1984 7239",Diurno,Consalud,"Full time"
"Elsa Marrero Llamas",219904,1,elsa5626@viajes.ceele,6kJrkK6jCRF2,elmall,+56-2-8916-7992,Nocturno,Fonasa,"Part time"
"Timoteo Barrera Navarrete",9486245,0,Timoteonavarrete@viajes.cl,H56LGBfZf,timoteo2885,"+56 9 1082 3466",Nocturno,"Más vida","Full time"
"Raúl Díaz Cazares",4352046,6,raOUl2266@viajes.ceele,P9LmXS11R,raúl326,"+56 2 5728 6645",Diurno,Consalud,"Full time"
"Benito Lucero Guevara",14242582,3,benito4793@viajes.cl,x6sXsMkdVgJFDwQ,benito2597,"+56 2 8945 6384",Diurno,"Más vida","Full time"
"Alfredo Gamez Agosto",22529924,2,algaag@viajes.cl,x,Alfredoagosto,"+56 2 1662 5058",Nocturno,"Más vida",x
"Sr. Carmen Domínquez Lara",3797695,4,srcadola@viajes.ceele,xxYg01C2LxSn0C,Sr.lara,"+56 2 7457 0656",Diurno,Consalud,"Full time"
"Yolanda Armas Orosco",14760021,6,yoaror@viajes.cl,x,yolanda1786,"+56 2 8933 5201",Nocturno,Colmena,"Full time"
"Gregorio Zayas Delgadillo",9796934,5,Gregoriodelgadillo@viajes.cl,B25hbxPo1y,Gregoriodelgadillo,"+56 2 5949 0152",Diurno,Consalud,"Part time"
"Sr. Diego Guerra Cabrera",14537455,3,Sr.cabrera@viajes.cl,478ypyIoBsc,srdiguca,"+56 9 0054 9170",Diurno,"Más vida","Full time"
"Inés Cardenas Feliciano",11282053,1,inOos9109@viajes.cl,e4pPdz1Q76DY,Inésfeliciano,"+56 9 0649 1218",Nocturno,"Más vida","Full time"
x,6052664,8,Sta.bustos@viajes.cl,pOX5i2wlq430w,sta.5701,x,Diurno,"Más vida","Part time"
"Fernando Quintana Munguía",4275235,5,FernandomunguOAa@viajes.cl,W15lAz8YT1ie4,fequmu,"+56 2 7819 1746",Nocturno,"Más vida","Full time"
"Cecilia Gallegos Jáquez",12278365,0,CeciliajOequez@viajes.cl,PAPiIAt0SK195ak,cecilia9779,"+56 2 3909 9842",Diurno,Fonasa,"Full time"
"Cristina Franco Toledo",5260482,6,Cristinatoledo@viajes.cl,BFPhANN9,cristina1300,"+56 9 4808 0105",Diurno,Colmena,"Part time"
"Vicente Trejo Tello",22667160,9,Vicentetello@viajes.cl,m9PZIol3eqq0,vicente2967,"+56 2 9050 1830",Diurno,"Más vida","Part time"
"Sta. Víctor Estévez Marroquín",2005973,7,stvOAesma@viajes.cl,nOcyv6BN05W1wW,stvíesma,"+56 9 9598 4853",Nocturno,Banmédica,"Part time"
"Virginia Garrido Robledo",26485625,6,vigaro@viajes.cl,Sxx6wkIjP62RNAZ,virginia5853,"+56 2 1824 4520",Nocturno,Fonasa,"Full time"
"Mateo Ponce Pelayo",25389678,7,Mateopelayo@viajes.ceele,DVQa2of5AhwL,mapope,"+56 2 8539 8605",Diurno,Fonasa,"Full time"
"Olivia Navarrete Puente",18528231,7,olivia9451@viajes.cl,E2NiiR6Qn,olnapu,"+56 2 0065 3803",Nocturno,Colmena,"Full time"
"Berta Padilla Delafuente",19428314,8,berta4644@viajes.cl,6VH8TTuid1SF,bepade,"+56 2 9892 7718",Diurno,Colmena,"Part time"
"Fernando Aguilera Ortiz",19129076,3,feagor@viajes.cl,lukfqn5V,feagor,"+56 2 1071 6260",Nocturno,Colmena,"Full time"
"Sta. Eduardo Hinojosa Valdivia",9052122,5,Sta.valdivia@viajes.cl,Oy2BcpDCWJ2YX,sta.1296,+56-9-0157-4876,Nocturno,Consalud,"Full time"
"Sra. Inés Calderón Cazares",15485132,1,srincaca@viajes.cl,iEgR9KBEsh,sra.3520,"+56 2 2168 2050",Nocturno,"Más vida","Full time"
"Sr. Cecilia Alcaraz Valadez",16797825,8,sr.7273@viajes.cl,Odvr6jJ78U1,Sr.valadez,"+56 2 5169 1159",Diurno,"Más vida","Part time"
"Francisca Sáenz Delgado",11738398,9,frsOede@viajes.ceele,PSui8pc7MsCi,Franciscadelgado,+56-2-9629-5155,Diurno,Fonasa,"Part time"
"Elisa Delao Jimínez",3369095,9,ElisajimOAnez@viajes.ceele,aZ1Uz40ViwNT,Elisajimínez,+56-9-9254-4084,Diurno,Banmédica,"Full time"
"Ramona Paredes Segura",10777947,7,ramona6157@viajes.cl,TxKxY39CCU9,rapase,"+56 9 7925 5891",Nocturno,Consalud,"Part time"
"Jerónimo Sevilla Rodarte",6308948,6,JerOInimorodarte@viajes.ceele,wD1q2OTmlClO3G,Jerónimorodarte,"+56 2 1533 1224",Diurno,Consalud,"Part time"
"Jorge Balderas Navarrete",13622444,1,jobana@viajes.cl,4slgVpBbI3UjM,Jorgenavarrete,"+56 2 0853 2015",Nocturno,"Más vida","Full time"
"Jesús Gómez Barrientos",23797571,5,jesOUs7880@viajes.ceele,EbiELZ5giGVSPtJs,Jesúsbarrientos,"+56 9 7656 6433",Diurno,Colmena,"Part time"
"Sra. Julio César Jimínez Baca",14573225,5,sra.4434@viajes.cl,CCDJJ9slO,sra.3653,"+56 9 1072 9070",Nocturno,Colmena,"Full time"
"Laura Villalobos Vargas",28280276,7,laura3697@viajes.cl,kW1zDi7VLlgHM9,laura1185,"+56 9 5951 6973",Nocturno,Consalud,"Full time"
"Gabriela Rael Alcaraz",29619747,5,garaal@viajes.cl,8UAuq0JIIw,garaal,+56-9-1066-5413,Diurno,Consalud,"Full time"
"Sta. Cristina Batista Valdez",25138008,2,Sta.valdez@viajes.cl,OSxEGde21yQmnr,Sta.valdez,"+56 9 1726 9496",Diurno,Consalud,"Full time"
"Alejandro Molina Peres",25854696,2,almope@viajes.cl,sKAdmDrvOl8,Alejandroperes,+56-2-6080-3419,Nocturno,Banmédica,"Part time"
"Rosalia Núñez Baeza",16648824,9,Rosaliabaeza@viajes.cl,Z6boOYvwUMcgPL,Rosaliabaeza,"+56 9 5632 1969",Diurno,Banmédica,"Full time"
"Enrique Ibarra Castañeda",18975557,0,enrique2788@viajes.cl,g7nh0cGdEMV7zrK,enrique8368,"+56 9 6346 0982",Diurno,Colmena,"Full time"
"Luis Jimínez Meléndez",8151888,2,LuismelOondez@viajes.cl,RqnpwTl3hwW667jI,lujime,"+56 9 3060 5681",Diurno,"Más vida","Full time"
"Ana Arellano Burgos",28459285,9,Anaburgos@viajes.ceele,xKRxmG2Q0E6XMTk4,ana958,"+56 9 1220 0955",Nocturno,"Más vida","Full time"
"Patricio Santana Ramón",2063199,6,patricio723@viajes.cl,6Dd7wapi,Patricioramón,"+56 9 8776 5944",Diurno,Consalud,"Part time"
"Sra. Federico Trejo Candelaria",11496966,4,sra.6064@viajes.cl,DOiECn2f,srfetrca,"+56 2 5673 6068",Nocturno,Colmena,"Full time"
"Rubén Ozuna Dávila",26282292,3,RubOondOevila@viajes.cl,9YnAg2KAjhfwoT4k,Rubéndávila,"+56 2 3795 9393",Diurno,Fonasa,"Part time"
"Sra. Inés Llamas Cabán",25356098,3,sra.3223@viajes.cl,yqF9pVRb0i1uZU,srinllca,+56-9-2792-1413,Nocturno,Colmena,"Part time"
"Sta. Timoteo Mena Carrasco",9963791,9,sttimeca@viajes.cl,wJV3bLmDmw61LJEa,sta.6489,"+56 2 1986 9180",Diurno,Colmena,"Part time"
"Bernardo Chávez Urbina",20922571,9,bernardo8297@viajes.ceele,zdLE46gNOa6,Bernardourbina,"+56 2 3935 6248",Nocturno,"Más vida","Full time"
"Eduardo Santillán Solorzano",17345123,7,eduardo5176@viajes.cl,He5K4nMY,Eduardosolorzano,"+56 2 1005 4117",Nocturno,"Más vida","Part time"
"José Aguirre Rodarte",15556884,4,joagro@viajes.cl,jZ1eES5kN3P,joagro,"+56 9 6511 1018",Nocturno,"Más vida","Full time"
"Gonzalo Cervantes Cervantes",14910567,0,gonzalo9263@viajes.cl,3EAgbZyUDFt6T,gonzalo1882,"+56 2 8091 3703",Diurno,"Más vida","Part time"
"Esteban Venegas Gil",11859087,2,esteban2567@viajes.cl,BiI0KAr7CBp8bVx,esvegi,"+56 9 8516 2620",Nocturno,Colmena,"Full time"
"Raquel Duran Domínguez",10863605,0,RaqueldomOAnguez@viajes.cl,E2gXr5LR33kTQU,Raqueldomínguez,"+56 9 4842 0486",Diurno,Colmena,"Full time"
"Francisca Rojo Guevara",27286886,7,francisca4744@viajes.cl,EYc9y7A4aNee,Franciscaguevara,"+56 2 2697 7966",Diurno,Consalud,"Full time"
"Sr. Luis Maestas Cabrera",21357416,7,srlumaca@viajes.cl,J1XFWZuOm6,Sr.cabrera,"+56 9 0875 6755",Diurno,Colmena,"Part time"
"Jesús Rincón Merino",19531918,9,JesOUsmerino@viajes.cl,EeyVF39W,jerime,"+56 2 9752 0318",Nocturno,Consalud,"Full time"
"Marta Gamboa Cordero",6805516,4,marta5894@viajes.ceele,Hbbh0d8xdJJC,Martacordero,"+56 9 4302 7435",Nocturno,Banmédica,"Part time"
"Samuel Rodríguez Ulibarri",1990889,5,samuel3969@viajes.ceele,57kERRrG,samuel2600,"+56 9 3092 5708",Nocturno,Fonasa,"Full time"
"Diana Curiel Rivera",29651070,0,Dianarivera@viajes.cl,QkHHEv2j,dicuri,"+56 9 0724 6078",Diurno,Consalud,"Full time"
"Sr. Diego Ordóñez Escobedo",2323001,1,srdiores@viajes.cl,6eKFQbW4Cd,srdiores,"+56 2 9364 7827",Nocturno,Banmédica,"Part time"
"Micaela Ibarra Núñez",27565816,2,miibnOU@viajes.cl,2wAMwOySkuKx0U,micaela6613,"+56 2 8568 3825",Nocturno,Consalud,"Full time"
"Susana Cerda Ochoa",23213359,7,Susanaochoa@viajes.cl,Cjc766v1Fo0reER,suceoc,"+56 9 0931 0333",Diurno,Fonasa,"Part time"
"Débora Menéndez Tello",29974416,7,dOobora535@viajes.cl,SK5lGvGEjffu3Y9,Déboratello,"+56 9 2710 4628",Nocturno,"Más vida","Full time"
"Esperanza Zaragoza González",27570648,5,EsperanzagonzOelez@viajes.ceele,3tySxYJGU2,Esperanzagonzález,"+56 2 2277 0966",Diurno,"Más vida","Full time"
"Ernesto Centeno Ornelas",6510233,1,ernesto1762@viajes.cl,joQjrYTzX3lD61,ernesto8448,"+56 9 6127 2547",Nocturno,Consalud,"Part time"
"María José Heredia Rojo",25292417,5,marOAa3368@viajes.cl,R9ZRqC5Pk3uAhhps,maría2370,"+56 2 5662 6246",Nocturno,Fonasa,"Full time"
"Marilu Montañez Tamayo",23774540,0,marilu5090@viajes.cl,Xdqucb9Z3DXPb,mamota,"+56 2 2484 0141",Nocturno,Banmédica,"Full time"
"Natalia Sisneros Zambrano",10246502,4,nasiza@viajes.cl,pXCh59BHtRt7Vz,Nataliazambrano,"+56 9 0953 2228",Nocturno,Fonasa,"Full time"
"José María Ávila Echevarría",10397528,0,JosOoechevarrOAa@viajes.cl,Z8Jt0t56IgX0A,Joséechevarría,"+56 2 9480 6088",Diurno,Fonasa,"Part time"
"Sta. Germán Mares Salas",19091703,7,sta.7694@viajes.cl,7hCQdBu87Tz8,sta.4790,"+56 2 3424 3192",Nocturno,"Más vida","Part time"
"Ana María Portillo Rivas",22451575,8,ana3277@viajes.cl,5IxNox1ufilE3Il4,ana3436,"+56 2 4527 3486",Diurno,Colmena,"Full time"
"Eduardo Véliz Gálvez",17165180,8,EduardogOelvez@viajes.cl,me85BGmqns6v,Eduardogálvez,"+56 9 1919 0635",Nocturno,Colmena,"Part time"
"Homero Reyna Jaime",21529030,1,homero7229@viajes.cl,wScehvr05sl,horeja,+56-9-9320-9356,Nocturno,Banmédica,"Full time"
"Sr. Mariana Caldera Colón",14263002,8,sr.9956@viajes.cl,1ZPuREHdWJpg2T,sr.3843,"+56 2 7831 6768",Diurno,Consalud,"Part time"
"Santiago Quiñones Cardona",11477754,4,Santiagocardona@viajes.cl,aAyXnC0hr7RE8b,saquca,"+56 2 2426 5951",Nocturno,Colmena,"Part time"
"Mariana Cortés Rolón",12352264,8,mariana7516@viajes.cl,ijEQ8iIVhADT7Z,macoro,"+56 9 0871 2971",Nocturno,Consalud,"Part time"
"Patricio Cedillo Hidalgo",1917828,5,patricio8282@viajes.ceele,Uqe0iGfgY1bD7U,Patriciohidalgo,"+56 9 3221 2299",Nocturno,Consalud,"Part time"
"Estela Llamas Tafoya",9377667,4,Estelatafoya@viajes.ceele,6nTEQfXASAN,esllta,"+56 9 8890 1104",Nocturno,Colmena,"Full time"
"Sta. Diego Reyes Mondragón",27640041,0,Sta.mondragOIn@viajes.cl,GlA45VJUFTg,sta.9842,"+56 2 9454 1958",Diurno,Banmédica,"Part time"
"Timoteo Alarcón Montenegro",2343389,3,timoteo4318@viajes.cl,8UACbI4Tje,tialmo,"+56 2 2550 2528",Diurno,Consalud,"Part time"
"Dorotea Badillo Valdivia",7478133,0,Doroteavaldivia@viajes.cl,J9TWnnSzNC8,dorotea4168,"+56 2 0613 2027",Diurno,Colmena,"Full time"
"Julia Mora Villalpando",10143529,6,Juliavillalpando@viajes.cl,aFuVZ1PNOaVItqwV,julia6019,"+56 9 1902 7337",Diurno,"Más vida","Part time"
"Sr. Fernando Casanova Tello",7488732,5,Sr.tello@viajes.ceele,7jGnt9Azf,sr.686,+56-2-5424-5829,Nocturno,Colmena,"Part time"
"Sta. Amalia Alanis Narváez",4018621,2,sta.8195@viajes.cl,EGXkwxMGks1GW,stamalna,"+56 2 6315 5451",Nocturno,Fonasa,"Full time"
"Sta. Rodrigo Grijalva Moreno",23921713,3,Sta.moreno@viajes.cl,ZNyaQ1pSWmV,sta.5429,"+56 2 1628 4121",Nocturno,Colmena,"Full time"
"Sra. Juan Carlos Pérez Montez",14385334,9,sra.7450@viajes.cl,3fmR1Ityw,Sra.montez,"+56 2 6477 1843",Diurno,Fonasa,"Part time"
"Benjamín Valdés Valadez",1536487,4,bevava@viajes.cl,RIFEVCnUjx1d,Benjamínvaladez,"+56 9 7506 2626",Nocturno,Consalud,"Full time"
"Raquel Benavídez Aponte",16571071,1,rabeap@viajes.cl,kmXkuQVcsYP0LqT,raquel9903,"+56 2 1052 3966",Diurno,Consalud,"Part time"
"Felipe Valdez Pineda",15540162,1,fevapi@viajes.cl,juN2nZQMYa,felipe119,"+56 9 2306 6106",Nocturno,"Más vida","Part time"
"Salvador Mota Lucero",23555518,2,Salvadorlucero@viajes.cl,3JSfj3IinmnOR,samolu,"+56 2 5555 0759",Diurno,Consalud,"Part time"
"Sr. Leonor Matos Cisneros",21677020,0,srlemaci@viajes.cl,vnO1sysW8RNgJ,Sr.cisneros,"+56 9 1353 6491",Diurno,"Más vida","Full time"
"Ana María Camacho Partida",4353956,6,anmacapa@viajes.cl,96h61YaHt8Eol,anmacapa,"+56 9 0775 6630",Diurno,Banmédica,"Full time"
"Samuel Rocha Iglesias",13647008,6,Samueliglesias@viajes.cl,HjGvmMqA5PPCr,saroig,"+56 9 6430 9476",Nocturno,Consalud,"Part time"
"Raúl Covarrubias Arredondo",4180767,9,RaOUlarredondo@viajes.cl,gd1JiP6gpiUTAH,raúl4292,"+56 9 2533 5697",Nocturno,Fonasa,"Full time"
"Sra. Óscar Saucedo Venegas",18616953,0,srOIssave@viajes.cl,q3HbEP50P,Sra.venegas,"+56 2 6027 5734",Diurno,Consalud,"Full time"
"Alejandro Rubio Carvajal",10711906,0,alruca@viajes.ceele,uH4u17wzHc6i,alejandro1460,"+56 9 5349 6089",Diurno,Colmena,"Full time"
"Armando Godínez Lugo",24130101,0,armando6407@viajes.cl,0kCW8f1Vt,armando3927,"+56 9 7216 0179",Nocturno,Fonasa,"Part time"
"Diana Menchaca Curiel",6147890,6,Dianacuriel@viajes.cl,Bpoo9sTURR4lFTtf,Dianacuriel,"+56 2 2585 1073",Diurno,Banmédica,"Part time"
"Ernesto Acuña Posada",2012270,6,Ernestoposada@viajes.cl,g4CxFKTkES141id,eracpo,+56-9-8982-3590,Diurno,Colmena,"Full time"
"Bernardo Jimínez Atencio",3376428,6,bernardo2082@viajes.cl,AWF1ilBRzYqfq5,bernardo9521,"+56 2 6762 1601",Nocturno,Fonasa,"Part time"
"César Ceballos Tamez",27552299,6,COosartamez@viajes.cl,NDqC9y3D,Césartamez,"+56 2 0975 0613",Diurno,Banmédica,"Full time"
"Sta. Esteban Carrera Arenas",6146225,2,sta.2227@viajes.ceele,4WqmnT6xSY,sta.5612,"+56 2 4745 7853",Diurno,Banmédica,"Full time"
"Mateo Salcido Saiz",5189855,9,masasa@viajes.cl,71hYQsDkfN4bE,masasa,+56-2-9677-2380,Nocturno,"Más vida","Part time"
"Sr. Guillermina Malave Lerma",5495033,0,srgumale@viajes.ceele,5Fyus2SunG2U,Sr.lerma,"+56 2 5061 3276",Nocturno,x,"Part time"
"Samuel Roldán Amador",7385522,5,samuel2369@viajes.cl,TQa7CWMsk,samuel9415,"+56 9 9385 1293",Nocturno,"Más vida","Part time"
"María José Santillán Meza",4954408,1,majosame@viajes.cl,EdsZw4iFOITyM,Maríameza,"+56 9 1060 5970",Nocturno,Consalud,"Part time"
"Micaela Navarrete Carranza",1695721,6,minaca@viajes.cl,r50n8LXjEIlMp,Micaelacarranza,"+56 9 7435 5693",Diurno,Consalud,"Full time"
"Sra. Micaela Salazar Ramón",24164065,5,Sra.ramOIn@viajes.cl,VTLCF4ClHKq,sra.444,"+56 9 8453 9783",Diurno,Banmédica,"Part time"
"Eloisa Olivárez Tijerina",28443493,5,elolti@viajes.ceele,WfKhw2JP3FqJWH,elolti,"+56 9 0632 1794",Nocturno,Colmena,"Full time"
"Cristobal Delacrúz Arenas",3201692,8,Cristobalarenas@viajes.ceele,3O3zoQYSv2m9Nkvl,crdear,"+56 9 7115 1898",Diurno,"Más vida","Part time"
"Ramón Quintero Valdez",22973408,3,raquva@viajes.cl,cs0PDvvW0,raquva,"+56 9 8347 9936",Nocturno,Banmédica,"Full time"
"Silvia Zambrano Preciado",17846439,6,sizapr@viajes.cl,XmbDCZItDVD7MDEh,silvia8484,"+56 9 1486 7753",Nocturno,Banmédica,"Part time"
"Alejandro Reyes Mateo",18874718,3,Alejandromateo@viajes.cl,kGdt9BIETU,alrema,"+56 2 5994 6763",Nocturno,"Más vida","Part time"
"Esteban Ortiz Arreola",14070942,5,esteban2475@viajes.ceele,HQ1mSxG96IO,Estebanarreola,"+56 2 3823 1269",Nocturno,"Más vida","Part time"
