codigo_reserva,correo_empleado,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa
540868,CristiangarcOAa@viajes.cl,38151,Avilés,Cuenta,77,3996,225000,"RZD (Rusia)"
540869,Barbaragallardo@viajes.cl,15618,granada#,Valladolid,83,2921,106000,Vueling
540871,elmoor@viajes.cl,65651,"Torrejón de Ardoz",Pamplona,49,3544,131000,JetSur
540874,gabriel3001@viajes.cl,40001,Pamplona,"Talavera de la Reina",32,721,102000,Turbus
540881,anluroco@viajes.cl,64892,"Talavera de la Reina",Tarrasa,49,2448,50000,"Buses Ahumada"
540886,majoroyb@viajes.cl,59408,Murcia,Orense,32,1309,134000,Qantas
540892,raquel239@viajes.cl,40593,telde#,Rivas-Vaciamadrid,67,3609,480000,"CP (Portugal)"
540894,maesha@viajes.cl,95316,Manresa,Puertollano,83,1061,123000,"Frontier Airlines"
540897,sra.1484@viajes.cl,41482,Puertollano,Irún,100,1157,55000,"Air Canada"
540899,EsperanzavelOezquez@viajes.cl,71715,"santiago de compostela#",Salamanca,41,1755,79000,"Estrella Roja"
540900,srmadecaalpo@viajes.cl,91091,Salamanca,Bilbao,34,3974,166000,Megabus
540905,socaes@viajes.cl,8655,Palencia,León,34,3965,208000,"Ethiopian Airlines"
540910,erneol@viajes.cl,38201,León,VILADECANS!!!,72,508,33000,"Air France"
540917,Anamireles@viajes.cl,78647,Inca,Inca,40,1450,67000,"ETN Turistar"
540919,Gerardocotto@viajes.cl,71140,Inca,Puertollano,36,1182,200000,Monbus
540923,sr.4175@viajes.cl,85155,Puertollano,"Alcalá de Guadaira",49,2439,123000,"Buses Bio Bio"
540924,marilu7833@viajes.cl,88145,"Alcalá de Guadaira",Inca,50,3308,82000,Avanza
540929,cristian2042@viajes.cl,82952,Móstoles,Elche,59,940,72000,"Deutsche Bahn (DB)"
540931,Carloscortez@viajes.cl,90230,Sagunto,Baracaldo,28,3872,273000,"Wizz Air"
540933,sra.2416@viajes.cl,91357,Baracaldo,Albacete,80,3920,369000,"Frontier Airlines"
540935,Sr.montalvo@viajes.cl,48380,Granada,GRANOLLERS!!!,48,3474,160000,"Condor Bus"
540940,olalbo@viajes.cl,20892,orihuela#,Telde,42,1563,192000,"Copa Airlines"
540943,stsimocOI@viajes.cl,59594,Ceuta,GECHO!!!,34,2571,165000,"Crucero del Norte"
540944,sofia3359@viajes.cl,23467,Gecho,Segovia,33,2957,159000,Andesmar
540946,anfrte@viajes.cl,69489,Pontevedra,Majadahonda,47,4039,176000,"Buses Bio Bio"
540947,vOArimu@viajes.cl,27026,"Cerdañola del Vallés","Alcalá de Henares",43,2394,196000,BoltBus
540948,grmuca@viajes.cl,79670,"Alcalá de Henares",Córdoba,44,2686,170000,JetSur
540949,sta.9484@viajes.cl,84308,Córdoba,"Collado Villalba",48,1226,67000,"ETN Turistar"
540958,srmimava@viajes.cl,73287,Paterna,"Las Palmas de Gran Canaria",63,3615,455000,"CP (Portugal)"
540959,Sra.ortega@viajes.cl,8398,"Las Palmas de Gran Canaria",Rubí,96,3744,395000,"ÖBB (Austria)"
540960,Claudiozayas@viajes.cl,54981,Rubí,Alicante,57,2541,87000,"NSB (Noruega)"
540973,josefina2243@viajes.cl,75642,Linares,"Hospitalet de LLobregat",29,3984,254000,"NS International"
540977,Sta.ruiz@viajes.cl,37200,Santander,"Dos Hermanas",20,697,44000,"Japan Airlines"
540978,juan7630@viajes.cl,54019,Torrevieja,Cádiz,47,3421,136000,Avanza
540984,Gonzalogarza@viajes.cl,91256,Cádiz,TARRASA!!!,35,385,74000,BoltBus
540986,Sr.abeyta@viajes.cl,36651,Elche,Zaragoza,25,1414,32000,"CP (Portugal)"
540990,Manuelavega@viajes.ceele,97309,Zaragoza,"POZUELO DE ALARCóN!!!",67,3241,210000,"BDZ (Bulgaria)"
540991,Sr.orosco@viajes.cl,83519,"El Prat de LLobregat",Torrelavega,41,1219,110000,Socibus
540995,marta9699@viajes.cl,93446,Torrelavega,LEóN!!!,44,599,69000,"Condor Bus"
540998,lobeal@viajes.cl,15700,León,Manresa,39,414,96000,x
541001,florencia8331@viajes.cl,73946,Elda,"Santa Coloma de Gramanet",32,2336,68000,Socibus
541009,ramOIn6494@viajes.cl,12800,"Santa Coloma de Gramanet","San Cristróbal de la Laguna",30,2347,63000,"Buses Ahumada"
541010,sr.3249@viajes.cl,8153,Elche,Granada,95,2671,191000,"CD (República Checa)"
541011,jaime2963@viajes.cl,59240,Granada,Leganés,25,1306,56000,"NS International"
541012,OIsorba@viajes.ceele,88408,leganés#,"San Sebastían de los Reyes",82,2104,187000,"SBB (Suiza)"
541013,AdOenOeguilar@viajes.cl,4909,Badajoz,Jaén,15,1347,88000,"NSB (Noruega)"
541014,jemapa@viajes.cl,79870,"San Sebastían de los Reyes",Gandía,94,1279,39000,"Southwest Airlines"
541015,BenitovillagOImez@viajes.cl,10634,Gandía,Lorca,70,4223,159000,"American Airlines"
541016,pedro1766@viajes.cl,62550,Torrelavega,Valdemoro,47,670,87000,"El Rápido Internacional"
541017,gabriela2800@viajes.cl,4888,Cáceres,Orense,97,4218,393000,Renfe
541022,sibeco@viajes.cl,23517,"Alcalá de Guadaira",Fuengirola,32,2270,244000,"HŽ (Croacia)"
541030,mahaca@viajes.cl,77957,Fuengirola,Ponferrada,72,1734,173000,"ZSSK (Eslovaquia)"
541031,joedflos@viajes.cl,10025,"Cerdañola del Vallés",ESTEPONA!!!,30,4244,140000,Avanza
541036,mebech@viajes.cl,85742,Estepona,Valdemoro,31,123,35000,Megabus
541039,enrique5385@viajes.cl,96786,Valdemoro,Telde,50,4099,184000,Alsa
541040,rabade@viajes.cl,11516,Sagunto,Inca,15,1546,197000,"Nederlandse Sp"
541046,sra.3208@viajes.cl,15683,Inca,Leganés,17,4110,171000,Renfe
541047,srelbuga@viajes.ceele,22946,Leganés,"Alcalá de Guadaira",64,331,118000,AVE
541048,Catalinaozuna@viajes.cl,66642,"Santa Coloma de Gramanet",Salamanca,39,3982,243000,"SNCB (Bélgica)"
541049,ramova@viajes.cl,24654,salamanca#,Arrecife,98,321,168000,"ŽFBH (Bosnia y Herzegovina)"
541054,victoria9870@viajes.cl,39009,Granollers,Zaragoza,64,3277,194000,Trenitalia
541060,sodega@viajes.cl,22994,zaragoza#,ELCHE!!!,16,1924,113000,Italo
541064,Soniacuriel@viajes.cl,76811,Elche,"Torrejón de Ardoz",38,161,103000,"TGV (SNCF)"
541065,Hugorazo@viajes.cl,66430,"Hospitalet de LLobregat",Tarragona,58,1698,122000,"HŽ (Croacia)"
541066,Sra.negrOIn@viajes.ceele,34710,"Las Palmas de Gran Canaria",Alicante,30,1013,189000,"Pullman Bus"
541074,jorge8096@viajes.cl,26482,Alicante,Tarrasa,37,398,42000,Turbus
541075,mateo8064@viajes.ceele,70045,Tarragona,Irún,55,3796,306000,"Alaska Airlines"
541080,benjamOAn5220@viajes.cl,37694,León,Gecho,9,1818,64000,"BDZ (Bulgaria)"
541081,sra.4397@viajes.cl,31972,Pontevedra,Alcorcón,15,3445,324000,"CD (República Checa)"
541082,Lilianaranjo@viajes.cl,13081,Alcorcón,Granollers,25,2587,104000,"VRZ (Croacia)"
541090,Emiliovillalpando@viajes.cl,22433,zamora#,Sabadell,35,2460,50000,FlixBus
541091,ana4570@viajes.cl,93112,Sabadell,ALCOY!!!,41,1883,194000,"Buses Bio Bio"
541092,marOAa7724@viajes.cl,96948,Gerona,Parla,49,526,56000,Thalys
541093,Soniacuriel@viajes.cl,43845,Parla,Bilbao,3,907,123000,"ZFBH (Bosnia y Herzegovina)"
541100,mOInica8418@viajes.cl,32751,Bilbao,Calahorra,41,2321,226000,"ŽFBH (Bosnia y Herzegovina)"
541108,sr.3908@viajes.ceele,46867,Irún,"Santiago de Compostela",49,1563,121000,Alsa
541117,srdOobuma@viajes.cl,66592,Fuengirola,Rivas-Vaciamadrid,44,3526,148000,"Primera Plus"
541118,coesma@viajes.cl,56222,Málaga,Benidorm,82,197,91000,AVE
541119,jaime8707@viajes.cl,41890,Benidorm,Getafe,66,406,24000,"VR (Finlandia)"
541124,felipe8253@viajes.cl,36341,Getafe,"San Sebastián",37,2138,118000,"Nederlandse Sp"
541125,Guillermovaladez@viajes.cl,3095,Badalona,Barcelona,4,1007,114000,Italo
541126,Sta.cuellar@viajes.ceele,43149,Barcelona,Badajoz,83,3903,281000,"VR (Finlandia)"
541127,felipe6550@viajes.cl,24910,Badajoz,Santander,1,2978,292000,"HŽ (Croacia)"
541128,AlejandragodOAnez@viajes.cl,37980,Estepona,Gandía,36,2866,169000,"Estrella Roja"
541129,Reinabaeza@viajes.cl,2160,"La Coruña",ALBACETE!!!,66,2141,72000,"NSB (Noruega)"
541130,Lucastijerina@viajes.cl,23307,Albacete,"San Sebastián",14,1306,92000,Renfe
541137,espagu@viajes.cl,43233,Sabadell,Mérida,55,1273,55000,"CFR (Rumania)"
541145,lorena9926@viajes.cl,23066,Toledo,"Mollet del Vallés",53,1474,158000,"SBB (Suiza)"
541146,Juliobaeza@viajes.cl,18946,"Mollet del Vallés",Marbella,40,3528,160000,"SNCB (Bélgica)"
541147,joroar@viajes.cl,83981,Marbella,"El Puerto de Santa María",66,2968,293000,"ŽFBH (Bosnia y Herzegovina)"
541154,Cristobalmedrano@viajes.cl,28260,"El Prat de LLobregat",Estepona,71,850,44000,"SNCB (Bélgica)"
541157,Gilbertolomeli@viajes.cl,8360,Estepona,Valdemoro,87,2865,239000,"CFR (Rumania)"
541158,Sta.galarza@viajes.ceele,5190,Pontevedra,"La Coruña",15,2106,63000,"Spirit Airlines"
541167,lusama@viajes.cl,60844,Barcelona,Badalona,48,123,174000,"Singapore Airlines"
541168,evheca@viajes.cl,88143,Badalona,Avilés,54,2661,172000,"Spirit Airlines"
541173,Caridadfajardo@viajes.cl,6903,valdemoro#,Valladolid,78,3445,337000,"RZD (Rusia)"
541175,sra.7674@viajes.cl,75202,Puertollano,Linares,43,700,174000,"EME Bus"
541176,Jorgetapia@viajes.cl,29843,Linares,Granada,31,2230,93000,ADO
541178,Liliafeliciano@viajes.cl,49178,Granada,Orihuela,47,3719,157000,Alsa
541180,maricarmen9617@viajes.cl,4222,Benalmádena,"El Prat de LLobregat",32,3634,110000,Avanza
541186,stjoartOo@viajes.cl,43885,"El Prat de LLobregat","Roquetas de Mar",42,620,151000,"Omnibus de México"
541188,raquel8972@viajes.cl,83804,vigo#,Motril,85,2952,222000,"NSB (Noruega)"
541196,beloar@viajes.cl,6402,Motril,"Dos Hermanas",77,1161,141000,Eurostar
541197,jerOInimo8065@viajes.cl,45326,"Dos Hermanas","Hospitalet de LLobregat",56,1232,129000,"VRZ (Croacia)"
541203,begrza@viajes.ceele,98243,Salamanca,Linares,2,3187,184000,"Copa Airlines"
541211,lorena2939@viajes.cl,23759,Granada,Valencia,87,1086,50000,"Copa Airlines"
541212,Oengela6761@viajes.cl,86114,Valencia,"Jerez de la Frontera",51,748,140000,"Spirit Airlines"
541216,mario5515@viajes.cl,63505,Linares,Oviedo,43,1200,151000,"Estrella Roja"
541223,Sr.agosto@viajes.cl,80694,torremolinos#,Sevilla,44,2950,90000,"Buses Bio Bio"
541224,anluvasa@viajes.cl,47386,Sevilla,Puertollano,35,1660,153000,Plusmar
541228,hozavi@viajes.cl,55527,puertollano#,SEGOVIA!!!,38,2885,71000,Megabus
541236,juzemo@viajes.cl,295,Fuengirola,"Chiclana de la Frontera",43,3733,169000,"ETN Turistar"
541243,diego5279@viajes.cl,12470,"Chiclana de la Frontera",Baracaldo,33,2763,167000,Chevallier
541244,rocio3460@viajes.cl,61238,Baracaldo,Badalona,41,1871,84000,"Estrella Roja"
541246,elsa5626@viajes.ceele,37038,Almería,Vitoria,31,2088,138000,"Alaska Airlines"
541248,Timoteonavarrete@viajes.cl,3978,Mataró,Oviedo,32,3384,84000,"Buses Ahumada"
541254,raOUl2266@viajes.ceele,28478,alcoy#,"San Cristróbal de la Laguna",31,164,36000,FlixBus
541255,Miguelfranco@viajes.cl,65212,Ferrol,Guadalajara,40,3394,123000,Socibus
541260,luabir@viajes.cl,33417,Guadalajara,Motril,39,2505,157000,Greyhound
541269,benito4793@viajes.cl,13845,Inca,Albacete,40,1109,149000,"Buses Nilahue"
541274,sabanOe@viajes.cl,82524,Estepona,"Collado Villalba",46,2732,98000,"Primera Plus"
541276,algaag@viajes.cl,54783,Ceuta,Alcoy,41,1648,134000,"Estrella Roja"
541277,srcadola@viajes.ceele,30417,Majadahonda,"San Sebastían de los Reyes",41,1646,159000,Avanza
541288,maguva@viajes.cl,45007,Benalmádena,"Castellón de la Plana",40,1037,197000,FlixBus
541297,clara1840@viajes.cl,63825,Telde,Zaragoza,2,2019,62000,"SNCB (Bélgica)"
541298,yoaror@viajes.cl,29704,Zaragoza,"Dos Hermanas",10,174,140000,"HŽ (Croacia)"
541304,Sra.olvera@viajes.cl,90589,segovia#,Lérida,82,744,109000,"United Airlines"
541319,Gregoriodelgadillo@viajes.cl,76546,"Santiago de Compostela","San Sebastían de los Reyes",31,566,87000,"Pullman Bus"
541320,Patriciosisneros@viajes.cl,81916,"San Sebastían de los Reyes",Mijas,36,1697,75000,"Pullman Bus"
541327,DOoborahenrOAquez@viajes.cl,96778,Irún,Granada,64,1942,91000,"SBB (Suiza)"
541332,Sr.cabrera@viajes.cl,8000,Gecho,Santander,35,2299,146000,"VR (Finlandia)"
541339,inOos9109@viajes.cl,59576,Cartagena,Getafe,85,489,61000,"Air France"
541340,Sta.bustos@viajes.cl,70519,Getafe,Cádiz,97,2350,274000,"LATAM Airlines"
541343,FernandomunguOAa@viajes.cl,45443,Estepona,Oviedo,6,427,158000,"Air France"
541351,CeciliajOequez@viajes.cl,59839,Oviedo,"Molina de Segura",77,3513,272000,Lufthansa
541352,benjamOAn5601@viajes.cl,77809,"Las Palmas de Gran Canaria",Mijas,93,408,33000,"Japan Airlines"
541354,Cristinatoledo@viajes.cl,40091,Orihuela,Granada,60,736,145000,Vueling
541359,maeuprse@viajes.cl,50396,Orense,Ponferrada,24,644,200000,"Etihad Airways"
541368,Vicentetello@viajes.cl,83559,Elche,"Chiclana de la Frontera",22,2027,154000,Trenitalia
541370,stvOAesma@viajes.cl,70712,Barcelona,BURGOS!!!,21,878,62000,Trenitalia
541373,berta2138@viajes.cl,4335,Burgos,Viladecans,58,282,33000,"CP (Portugal)"
541374,vigaro@viajes.cl,80275,Viladecans,Alcorcón,59,2925,379000,"SBB (Suiza)"
541390,hozavi@viajes.cl,288,"San Sebastían de los Reyes","Las Palmas de Gran Canaria",33,3146,52000,"Buses Nilahue"
541391,alsaal@viajes.cl,5467,Inca,"Hospitalet de LLobregat",34,1884,188000,Renfe
541392,vOArimu@viajes.cl,29798,"Hospitalet de LLobregat","El Puerto de Santa María",31,322,50000,"SBB (Suiza)"
541395,Oengela7578@viajes.cl,82733,Tarragona,"Molina de Segura",32,939,145000,"Buses Nilahue"
541404,maruch@viajes.cl,73692,Orense,Getafe,34,352,198000,Ryanair
541405,Mateopelayo@viajes.ceele,47402,getafe#,"Las Palmas de Gran Canaria",26,3249,200000,Emirates
541416,olivia9451@viajes.cl,45981,Paterna,Vitoria,34,3284,119000,JetSur
541424,berta4644@viajes.cl,87381,Vitoria,Alcorcón,37,1954,55000,"Estrella Roja"
541427,Cristinacasares@viajes.cl,38606,Palencia,Benidorm,75,2180,81000,"Southwest Airlines"
541439,feagor@viajes.cl,3587,Huelva,"Talavera de la Reina",38,3491,312000,"CD (República Checa)"
541441,Sta.valdivia@viajes.cl,89059,"Talavera de la Reina",Cáceres,39,4041,265000,"ŽFBH (Bosnia y Herzegovina)"
541449,srincaca@viajes.cl,81413,"Santiago de Compostela",Badajoz,92,369,98000,"CD (República Checa)"
541450,sr.7273@viajes.cl,97966,Badajoz,Rivas-Vaciamadrid,59,2626,136000,"ŽFBH (Bosnia y Herzegovina)"
541451,frsOede@viajes.ceele,88107,Inca,Alicante,77,2682,125000,"Wizz Air"
541452,ElisajimOAnez@viajes.ceele,93708,alicante#,"Santa Lucía de Tirajana",36,658,149000,"Spirit Airlines"
541453,gregorio6426@viajes.cl,64464,"Santa Lucía de Tirajana","El Puerto de Santa María",65,4196,342000,"All Nippon Airways (ANA)"
541460,ramona6157@viajes.cl,96687,Orihuela,"Molina de Segura",81,2868,300000,Thalys
541461,JerOInimorodarte@viajes.ceele,20251,reus#,"Hospitalet de LLobregat",39,2537,61000,Futura
541465,jobana@viajes.cl,39941,"Hospitalet de LLobregat",Rivas-Vaciamadrid,50,1899,81000,"Via Bariloche"
541467,Alfonsotrujillo@viajes.cl,37088,"san cristróbal de la laguna#",INCA!!!,62,374,69000,"DSB (Dinamarca)"
541468,Teresaolivera@viajes.cl,10397,Inca,Mérida,38,3666,380000,"DSB (Dinamarca)"
541469,jesOUs7880@viajes.ceele,19748,"san sebastián#",Getafe,20,1197,132000,"CP (Portugal)"
541471,sra.4434@viajes.cl,43884,Gecho,Inca,6,3939,172000,"ZS (Eslovenia)"
541473,laura3697@viajes.cl,41763,Lérida,Mijas,84,x,78000,AVE
541475,garaal@viajes.cl,92104,Almería,"ALCALá DE HENARES!!!",36,806,32000,Vueling
541480,Sta.valdez@viajes.cl,8728,Rivas-Vaciamadrid,Madrid,46,1176,127000,"Flecha Bus"
541481,almope@viajes.cl,24554,Madrid,Guadalajara,50,1626,98000,Socibus
541482,Rosaliabaeza@viajes.cl,92561,Almería,"Santiago de Compostela",36,1971,133000,Alsa
541484,srglqujOe@viajes.cl,69592,Motril,"Santiago de Compostela",34,1677,139000,"El Rápido Internacional"
541489,josefina2243@viajes.cl,74427,"Santiago de Compostela",Pamplona,41,2189,100000,BoltBus
541490,enrique2788@viajes.cl,18653,"La Coruña",Leganés,77,956,40000,"Wizz Air"
541494,LuismelOondez@viajes.cl,76007,Estepona,Córdoba,42,3065,331000,"United Airlines"
541495,Anaburgos@viajes.ceele,45551,Córdoba,Toledo,46,169,91000,Lufthansa
541500,patricio723@viajes.cl,48247,Toledo,Fuenlabrada,15,1212,58000,Aeroméxico
541502,sra.6064@viajes.cl,93008,Manresa,Segovia,36,3923,58000,"Via Bariloche"
541507,RubOondOevila@viajes.cl,81840,Segovia,Oviedo,37,2361,83000,Socibus
541508,sra.3223@viajes.cl,93818,Avilés,Parla,46,3468,55000,BoltBus
541510,sttimeca@viajes.cl,82247,"Chiclana de la Frontera",Paterna,42,2271,113000,Avanza
541516,bernardo8297@viajes.ceele,3894,Tarragona,"San Sebastían de los Reyes",70,1124,111000,"ZS (Eslovenia)"
541517,Pablotejeda@viajes.cl,33386,"San Sebastían de los Reyes",Cartagena,67,1134,41000,"DSB (Dinamarca)"
541520,eduardo5176@viajes.cl,60809,Mérida,"Dos Hermanas",53,1513,177000,"British Airways"
541522,joagro@viajes.cl,16352,Jaén,Toledo,99,3158,113000,Avianca
541523,Oengela6761@viajes.cl,76186,Toledo,León,43,2872,149000,Lufthansa
541524,feagor@viajes.cl,46913,"La Coruña",Estepona,16,4201,420000,Thalys
541528,CeciliajOequez@viajes.cl,74640,Estepona,"La Línea de la Concepción",80,1752,52000,"NS International"
541536,caarli@viajes.cl,42267,Valladolid,Baracaldo,49,2473,87000,Ryanair
541537,Gloriapartida@viajes.cl,44355,Baracaldo,"San Cristróbal de la Laguna",93,1807,65000,"Air Canada"
541546,gonzalo9263@viajes.cl,69246,Elda,"Molina de Segura",54,2454,193000,"United Airlines"
541547,esteban2567@viajes.cl,34087,Barcelona,Lérida,73,2127,60000,"Qatar Airways"
541548,stmacamo@viajes.cl,96702,Lérida,"San Sebastián",60,2388,148000,"Japan Airlines"
541558,alfonso6673@viajes.cl,82229,Almería,"San Sebastián",67,2597,165000,"Singapore Airlines"
541561,RaqueldomOAnguez@viajes.cl,60935,"San Sebastián",Mataró,12,3256,262000,Aeroméxico
541562,Oensaol@viajes.cl,73356,"Pozuelo de Alarcón",Córdoba,34,2170,97000,"Condor Bus"
541564,yolanda8879@viajes.cl,72060,Benidorm,Rivas-Vaciamadrid,33,3548,200000,Alsa
541565,francisca4744@viajes.cl,88505,"Torrejón de Ardoz",Cáceres,35,3177,81000,Megabus
541567,srlumaca@viajes.cl,9705,cáceres#,Irún,46,3035,95000,Socibus
541573,sta.5767@viajes.cl,73302,Irún,Palencia,31,3618,106000,Futura
541574,JesOUsmerino@viajes.cl,56717,"Talavera de la Reina","El Ejido",39,1908,175000,"EME Bus"
541584,Rosalira@viajes.cl,2760,Santander,Algeciras,50,3766,151000,"Copa Airlines"
541591,marta5894@viajes.ceele,61010,Vitoria,Santander,45,1583,145000,Andesmar
541592,samuel3969@viajes.ceele,94061,Santander,"Santa Cruz de Tenerife",36,361,36000,"Via Bariloche"
541594,Dianarivera@viajes.cl,54771,Murcia,Getafe,4,253,59000,Amtrak
541597,srdiores@viajes.cl,43539,Barcelona,Cáceres,80,2821,108000,"ŽSSK (Eslovaquia)"
541603,miibnOU@viajes.cl,70990,"Sanlúcar de Barrameda","Palma de Mallorca",45,3289,168000,Chevallier
541604,Sra.fernOendez@viajes.cl,5215,"santa cruz de tenerife#",Almería,100,3922,410000,"SNCB (Bélgica)"
541606,elmoor@viajes.cl,60602,Jaén,Sevilla,54,2892,269000,WestJet
541607,Susanaochoa@viajes.cl,73091,Sevilla,"DOS HERMANAS!!!",65,2458,276000,Vueling
541611,dOobora535@viajes.cl,43923,Arrecife,Sagunto,93,2641,247000,"Qatar Airways"
541616,EsperanzagonzOelez@viajes.ceele,58333,Bilbao,"Mollet del Vallés",9,3133,142000,"MÁV (Hungría)"
541631,Jacoborosales@viajes.cl,56049,Mataró,Valencia,54,979,85000,"Nederlandse Sp"
541632,ernesto1762@viajes.cl,64390,Alcoy,Burgos,32,2275,146000,Alsa
541640,marOAa3368@viajes.cl,82054,Burgos,MAJADAHONDA!!!,45,849,76000,Megabus
541648,marilu5090@viajes.cl,80514,Santander,Mataró,5,965,142000,"Turkish Airlines"
541654,maelprcr@viajes.cl,33529,Mataró,Cartagena,24,3368,208000,"All Nippon Airways (ANA)"
541656,nasiza@viajes.cl,11694,Torremolinos,"Roquetas de Mar",40,2835,143000,"Buses Nilahue"
541673,JosOoechevarrOAa@viajes.cl,98653,Granada,Puertollano,92,360,99000,Aeroméxico
541674,sta.7694@viajes.cl,45495,Puertollano,Majadahonda,15,3409,184000,"Qatar Airways"
541681,marOAa739@viajes.cl,94905,Puertollano,Alcobendas,20,2721,243000,"SBB (Suiza)"
541682,patricio723@viajes.cl,2955,Alcobendas,Salamanca,63,2621,152000,"NSB (Noruega)"
541683,Beatrizcazares@viajes.cl,47047,Getafe,ALICANTE!!!,6,3262,139000,"Air New Zealand"
541690,ana3277@viajes.cl,60081,Alicante,Alicante,7,1401,120000,"Southwest Airlines"
541698,besear@viajes.cl,84950,Granollers,Elche,72,1235,127000,"CD (República Checa)"
541706,OIscar7270@viajes.cl,48916,Elche,Guadalajara,88,204,128000,Trenitalia
541715,EduardogOelvez@viajes.cl,63423,Móstoles,Valladolid,23,3801,307000,"ZFBH (Bosnia y Herzegovina)"
541719,homero7229@viajes.cl,6355,valladolid#,"Las Palmas de Gran Canaria",3,983,65000,Trenitalia
541725,sr.9956@viajes.cl,10662,"Mollet del Vallés",Manresa,33,459,49000,"Buses Romani"
541726,masobres@viajes.cl,16205,Manresa,Gijón,34,3802,117000,"Condor Bus"
541727,Santiagocardona@viajes.cl,878,Gijón,Motril,43,3224,68000,Turbus
541728,mahaca@viajes.cl,53414,Rubí,Elche,39,1005,81000,Megabus
541730,RamOInquezada@viajes.cl,52622,Elche,Ávila,44,3648,63000,"Flecha Bus"
541735,mariana7516@viajes.cl,8642,Ávila,Cádiz,30,3622,76000,"Condor Bus"
541736,patricio8282@viajes.ceele,47336,Mataró,León,47,3821,77000,"Flecha Bus"
541741,Estelatafoya@viajes.ceele,58484,León,Alcoy,48,3744,192000,Socibus
541742,vepeag@viajes.cl,12368,Alcoy,Vitoria,40,1959,179000,"EME Bus"
541743,Sta.mondragOIn@viajes.cl,36531,"La Línea de la Concepción","Hospitalet de LLobregat",88,1338,35000,"Deutsche Bahn (DB)"
541744,locobr@viajes.cl,23699,"Hospitalet de LLobregat",Salamanca,42,234,32000,"NSB (Noruega)"
541745,jedeoj@viajes.cl,90428,Salamanca,"SAN FERNANDO!!!",78,2674,269000,"Deutsche Bahn (DB)"
541746,benito1429@viajes.cl,38861,"Talavera de la Reina",Lérida,37,1085,59000,"NS International"
541747,Vicentetello@viajes.cl,34689,Lérida,"SANTA CRUZ DE TENERIFE!!!",35,1176,92000,"SJ (Suecia)"
541752,timoteo4318@viajes.cl,40329,"El Puerto de Santa María","Jerez de la Frontera",6,1887,154000,"Alaska Airlines"
541754,Sra.burgos@viajes.ceele,31620,Vigo,Granollers,41,3758,91000,"Flecha Bus"
541755,gebuso@viajes.cl,22320,"Palma de Mallorca","San Sebastían de los Reyes",47,2353,80000,"Pullman Bus"
541769,Doroteavaldivia@viajes.cl,89114,Vigo,"MOLLET DEL VALLéS!!!",84,1762,140000,"Alaska Airlines"
541777,pedro1766@viajes.cl,66789,"San Fernando","Jerez de la Frontera",53,1737,99000,"VRZ (Croacia)"
541778,Juliavillalpando@viajes.cl,41543,"Jerez de la Frontera",Benalmádena,38,4035,419000,"SJ (Suecia)"
541785,Catalinavillarreal@viajes.cl,92786,Benalmádena,ALCORCóN!!!,72,444,46000,"Nederlandse Sp"
541791,Sta.lugo@viajes.cl,4499,Ávila,"Roquetas de Mar",50,2741,291000,"HŽ (Croacia)"
541796,Sr.tello@viajes.ceele,72092,Alicante,LUGO!!!,46,912,120000,Plusmar
541797,sta.8195@viajes.cl,19442,Mataró,Paterna,46,538,115000,AVE
541798,Sta.moreno@viajes.cl,86782,Paterna,Valencia,45,1209,59000,"CFR (Rumania)"
541799,sra.7450@viajes.cl,73158,Valencia,Ceuta,15,771,96000,Renfe
541800,bevava@viajes.cl,17672,"Jerez de la Frontera",Majadahonda,39,3398,156000,"Nederlandse Sp"
541805,rabeap@viajes.cl,55251,Majadahonda,Orense,18,3542,239000,"Nederlandse Sp"
541809,jolucoal@viajes.cl,35601,Badajoz,Alcoy,41,2194,221000,Aeroméxico
541810,fevapi@viajes.cl,64568,Alcoy,"Santa Coloma de Gramanet",79,4139,473000,"Air France"
541812,Salvadorlucero@viajes.cl,83627,Viladecans,Alcoy,17,453,160000,"ŽFBH (Bosnia y Herzegovina)"
541820,srlemaci@viajes.cl,33507,Alcoy,Linares,3,2255,113000,"Nederlandse Sp"
541824,anmacapa@viajes.cl,64076,Calahorra,SEGOVIA!!!,48,971,116000,"Ethiopian Airlines"
541825,Samueliglesias@viajes.cl,26778,Segovia,Sevilla,69,840,31000,"Alaska Airlines"
541826,Sr.alonzo@viajes.cl,67524,Málaga,Sabadell,71,2727,144000,"SBB (Suiza)"
541827,Bertabustamante@viajes.cl,73730,Sabadell,"Molina de Segura",12,4009,274000,"DSB (Dinamarca)"
541828,homero1044@viajes.cl,78832,"Molina de Segura",Alcorcón,1,1732,178000,"ŽFBH (Bosnia y Herzegovina)"
541829,RaOUlarredondo@viajes.cl,6873,Manresa,Rivas-Vaciamadrid,77,3945,164000,Amtrak
541830,victoria700@viajes.cl,54878,Rivas-Vaciamadrid,"Sanlúcar de Barrameda",94,555,74000,"VR (Finlandia)"
541838,srOIssave@viajes.cl,52762,"Torrejón de Ardoz","Ciudad Real",31,3959,153000,Socibus
541842,alruca@viajes.ceele,84693,"Palma de Mallorca",Inca,30,2423,133000,"Estrella Roja"
541844,geesga@viajes.cl,12809,Segovia,Zamora,45,3900,50000,Damas
541851,andrea7429@viajes.cl,15922,Zamora,Huelva,30,3985,104000,"El Rápido Internacional"
