codigo_reserva,correo_empleado,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,comodidades,paradas
553569,mariana7382@viajes.cl,98799,Bilbao,Toledo,25,1386,98000,"ŽFBH (Bosnia y Herzegovina)","{""Aire acondicionado"",Baño,Agua}","{Torrevieja,Algeciras}"
553599,EduardogOelvez@viajes.cl,44641,Orense,Zaragoza,90,530,173000,"ŽSSK (Eslovaquia)",{},"{""San Cristróbal de la Laguna""}"
553620,mebech@viajes.cl,19672,Pamplona,Cáceres,94,3003,187000,"SBB (Suiza)","{Agua,""Asientos reclinables"",""Aire acondicionado"",Wifi,Calefacción,TV}","{""San Sebastián"",Telde,""Jerez de la Frontera"",Cáceres,Vitoria}"
553625,stadmuvOe@viajes.cl,27860,Gijón,"Sanlúcar de Barrameda",97,1790,90000,"ZS (Eslovenia)","{Wifi,""Aire acondicionado"",""Asientos reclinables"",TV}","{""Dos Hermanas""}"
553654,Marioescobedo@viajes.cl,91294,"Cornellá de Llobregat",Cáceres,92,2528,248000,"SBB (Suiza)","{""Aire acondicionado"",Agua,Baño,Comida,""Asientos reclinables""}","{Córdoba,Toledo,Ferrol,Lugo,Valladolid}"
553665,federico7015@viajes.cl,97494,Estepona,"Hospitalet de LLobregat",61,224,66000,Amtrak,{},"{Vigo,Albacete,""Santiago de Compostela"",""Las Palmas de Gran Canaria""}"
553668,OIszaro@viajes.cl,80787,"Hospitalet de LLobregat","El Puerto de Santa María",60,1568,86000,"ŽSSK (Eslovaquia)","{Wifi,Agua,Baño,""Aire acondicionado""}","{""Mollet del Vallés"",""Castellón de la Plana"",Torremolinos}"
553671,Estercarmona@viajes.cl,3990,"El Puerto de Santa María",Pontevedra,62,3242,239000,"ÖBB (Austria)","{Calefacción,Comida,Agua,TV,""Asientos reclinables"",Baño}","{""San Cristróbal de la Laguna""}"
553689,Guadalupemiramontes@viajes.cl,92770,"Collado Villalba","Collado Villalba",23,4070,360000,"ZSSK (Eslovaquia)","{""Asientos reclinables"",Comida,Agua,Wifi,Baño,Calefacción,""Aire acondicionado""}","{Gandía,Benalmádena,Cáceres,""San Sebastían de los Reyes"",Motril}"
553692,nasiza@viajes.cl,29344,"Collado Villalba",MIJAS!!!,31,4315,441000,"ZS (Eslovenia)","{Wifi,Agua,TV,Calefacción,Baño,""Aire acondicionado"",Comida}","{""El Prat de LLobregat"",Linares,Santander}"
553768,miguel7612@viajes.cl,68229,Sevilla,Mijas,60,3284,164000,"ÖBB (Austria)","{Agua,Comida,""Aire acondicionado"",""Asientos reclinables"",Calefacción,Baño}","{León,Tarrasa}"
553769,sr.4355@viajes.cl,92958,Lorca,"Collado Villalba",82,2412,223000,"ŽFBH (Bosnia y Herzegovina)","{Baño,""Aire acondicionado"",TV,Wifi,Calefacción}","{Ferrol,""Castellón de la Plana"",Cádiz,Alcorcón}"
553800,luheac@viajes.cl,44423,Mijas,Albacete,62,3791,417000,Thalys,"{Wifi,Baño,Comida,""Aire acondicionado"",Agua,TV,Calefacción}","{Coslada,Almería,Torrelavega,Madrid}"
553801,maduca@viajes.cl,40565,Albacete,Gecho,54,2917,396000,Trenitalia,"{""Asientos reclinables"",Agua,""Aire acondicionado"",Calefacción,Baño,TV}","{""Mollet del Vallés""}"
553823,JerOInimofernOendez@viajes.cl,87333,Orense,Tarragona,38,1194,39000,"HŽ (Croacia)","{Agua,Comida,""Aire acondicionado""}","{Parla,Alcobendas}"
553832,Sta.bustos@viajes.ceele,99962,alcobendas#,"Alcalá de Guadaira",41,2449,298000,"ŽSSK (Eslovaquia)","{Comida,Baño,TV,""Aire acondicionado"",Wifi}","{Granada,León,""La Coruña"",Alcoy,Getafe}"
553839,sthopaar@viajes.cl,96951,Pontevedra,Mataró,42,3890,233000,"VRZ (Croacia)","{Baño,""Aire acondicionado"",Agua,Calefacción,TV,Wifi,Comida}","{Sagunto,""Cerdañola del Vallés"",Benalmádena,Segovia}"
553861,Sra.archuleta@viajes.cl,51085,Motril,Calahorra,26,3848,274000,"VR (Finlandia)","{Calefacción,TV,Agua,""Asientos reclinables"",""Aire acondicionado"",Wifi,Baño}","{Córdoba,""La Línea de la Concepción""}"
553864,Sra.alonso@viajes.cl,46471,Elche,"Collado Villalba",80,2431,252000,Eurostar,"{TV,Wifi,Agua,""Asientos reclinables"",Baño}","{Barcelona,Rubí,Santander}"
553877,sta.7306@viajes.cl,89899,Elche,León,95,1386,142000,"CFR (Rumania)","{""Aire acondicionado"",Comida,TV}","{Salamanca,Manresa,Sagunto,Elda}"
553880,stmaprsa@viajes.cl,22560,Valencia,Albacete,46,1428,134000,"Nederlandse Sp","{Calefacción,Wifi,TV}","{""San Sebastían de los Reyes"",""Pozuelo de Alarcón"",Coslada,Segovia}"
553883,vicente3701@viajes.cl,13276,"Hospitalet de LLobregat","San Fernando",22,1832,132000,Amtrak,"{TV,Baño,""Asientos reclinables"",Wifi}","{Oviedo,Benidorm,""Cornellá de Llobregat"",Rubí}"
553926,matebadOA@viajes.cl,32311,Badajoz,Toledo,54,307,187000,Thalys,{},"{Vitoria,""La Coruña"",Coslada,Viladecans}"
553932,Lorenzosamaniego@viajes.cl,41487,Ceuta,Paterna,44,2907,x,"ZS (Eslovenia)","{""Aire acondicionado"",Comida,Calefacción,Wifi,Agua,""Asientos reclinables""}","{Zamora,Linares,Vitoria,Almería,Cáceres}"
553935,fernando3669@viajes.cl,53826,Fuengirola,Vitoria,2,1325,60000,"ŽFBH (Bosnia y Herzegovina)","{Agua,TV,Baño}","{Sagunto,Córdoba,Tarragona}"
553936,jaime2963@viajes.cl,2657,Vitoria,Ceuta,59,871,103000,"Nederlandse Sp","{Agua,Baño,Comida}","{""Collado Villalba""}"
553937,felipe6550@viajes.cl,98624,Ceuta,Parla,19,2781,200000,AVE,"{Baño,TV,Wifi,Comida,""Aire acondicionado""}","{Segovia,Telde,Segovia,Pontevedra}"
553973,MarOAaOevila@viajes.cl,925,Tarragona,"Alcalá de Guadaira",92,310,155000,"CP (Portugal)",{},"{Ceuta,Pontevedra,Barcelona,""Roquetas de Mar"",Pamplona}"
553987,amalia5995@viajes.cl,36932,"Palma de Mallorca","Mollet del Vallés",83,1684,199000,"NS International","{Baño,Calefacción,Comida,""Aire acondicionado""}","{Torremolinos,Mijas,Orense,Sabadell,Lérida}"
554018,rosalia2275@viajes.cl,27480,"Las Palmas de Gran Canaria",Logroño,63,x,88000,x,"{TV,Calefacción,Comida}","{Benidorm,Baracaldo,Alcobendas,Ávila}"
554020,sr.7320@viajes.cl,60335,Toledo,"Las Palmas de Gran Canaria",45,4151,298000,"HŽ (Croacia)","{Agua,""Asientos reclinables"",Baño,""Aire acondicionado"",TV,Calefacción,Comida}","{Granollers,""Chiclana de la Frontera"",Telde,""El Ejido"",Orense}"
554026,manuela4257@viajes.cl,78760,Ferrol,"Castellón de la Plana",70,2313,81000,"SNCB (Bélgica)","{""Aire acondicionado"",Baño,Agua,Calefacción,""Asientos reclinables""}","{Irún,Móstoles,Alcorcón,""Cerdañola del Vallés""}"
554027,Alfredocortez@viajes.cl,66521,"Castellón de la Plana","Dos Hermanas",75,3230,400000,"ZSSK (Eslovaquia)","{""Asientos reclinables"",""Aire acondicionado"",Wifi,TV,Calefacción,Agua}","{Alcorcón,Avilés,Almería,""El Prat de LLobregat"",Barcelona}"
554033,srmiOenbapu@viajes.ceele,67824,"El Ejido",Badalona,85,1824,118000,"CD (República Checa)","{Wifi,""Asientos reclinables"",Comida,Agua}","{""Castellón de la Plana"",Getafe,""Hospitalet de LLobregat""}"
554039,bernardo8297@viajes.cl,41012,Badalona,Bilbao,87,348,20000,"TGV (SNCF)",{},"{Ferrol,""Pozuelo de Alarcón"",""San Fernando"",""Collado Villalba""}"
554045,sr.3908@viajes.cl,33259,Bilbao,"Cornellá de Llobregat",59,762,58000,"ŽFBH (Bosnia y Herzegovina)","{Baño,""Aire acondicionado"",Calefacción}","{Manresa,Fuenlabrada}"
554058,miguel7612@viajes.cl,65610,Orense,"Alcalá de Guadaira",16,1730,80000,"TGV (SNCF)","{TV,Comida,Wifi,Calefacción}","{""Chiclana de la Frontera"",Mataró,Getafe,""Mollet del Vallés"",Marbella}"
554062,crhegu@viajes.cl,32699,"Alcalá de Guadaira",Guadalajara,1,249,71000,"ŽFBH (Bosnia y Herzegovina)",{},"{Majadahonda,Alcorcón,""Mollet del Vallés""}"
554104,lourdes4557@viajes.cl,15910,"el prat de llobregat#",Huelva,45,791,123000,"CFR (Rumania)","{Baño,""Aire acondicionado"",Comida}","{Elche,""Ciudad Real"",""Talavera de la Reina"",Linares}"
554111,gabriel3001@viajes.cl,11589,Sabadell,"Collado Villalba",29,583,25000,"CP (Portugal)",{},"{""Cornellá de Llobregat"",Córdoba,Burgos}"
554181,Miguelregalado@viajes.cl,65666,Benalmádena,"Cornellá de Llobregat",65,2606,139000,"VR (Finlandia)","{""Asientos reclinables"",Comida,Wifi,Calefacción,Agua}",{Torrevieja}
554183,silvia6632@viajes.ceele,x,x,Cuenta,56,649,13000,x,{},"{""Santa Coloma de Gramanet"",Vigo,Cádiz}"
554201,yoaror@viajes.cl,89828,Sabadell,"Ciudad Real",94,191,11000,"ÖBB (Austria)",{},"{Ponferrada,Tarrasa}"
554202,gabriela2800@viajes.cl,36558,"Ciudad Real",Torrelavega,57,919,139000,"MÁV (Hungría)","{TV,Wifi,""Aire acondicionado""}","{Ponferrada,Badajoz}"
554265,hozavi@viajes.cl,45484,Rivas-Vaciamadrid,Gerona,72,1987,86000,"TGV (SNCF)","{Agua,Baño,Comida,Calefacción}","{""La Coruña"",Arrecife,""La Línea de la Concepción"",Baracaldo}"
554267,javier3469@viajes.cl,45195,Cáceres,Cáceres,68,2279,158000,"BDZ (Bulgaria)","{""Asientos reclinables"",Agua,Wifi,Baño,Calefacción}","{""Talavera de la Reina"",Huelva,Rubí,""El Puerto de Santa María""}"
554272,ernesto2179@viajes.cl,24033,"Ciudad Real",León,67,587,66000,"Nederlandse Sp",{},"{""Torrejón de Ardoz""}"
554290,Sra.valdivia@viajes.cl,11996,Guadalajara,"Cornellá de Llobregat",66,3595,218000,"Deutsche Bahn (DB)","{Wifi,Comida,Baño,""Aire acondicionado"",""Asientos reclinables"",TV}","{Segovia,Vigo}"
554315,Isabelolivera@viajes.cl,40498,parla#,Ceuta,32,1521,117000,Thalys,"{TV,Baño,Wifi,""Asientos reclinables""}","{Fuenlabrada,León,""San Fernando"",Majadahonda}"
554323,alfonso8745@viajes.cl,11620,Ceuta,Getafe,48,4027,321000,"ŽFBH (Bosnia y Herzegovina)","{Calefacción,TV,Comida,Agua,""Aire acondicionado"",Wifi,""Asientos reclinables""}","{""Cerdañola del Vallés""}"
554374,alicia3564@viajes.cl,82187,"Chiclana de la Frontera","CASTELLóN DE LA PLANA!!!",2,3657,237000,Renfe,"{Baño,TV,Comida,Wifi,""Asientos reclinables"",Calefacción,Agua}","{Valencia,Torremolinos,""Alcalá de Guadaira""}"
554405,gedeal@viajes.ceele,81964,Granada,Huelva,96,853,55000,"VRZ (Croacia)","{Baño,Agua,""Asientos reclinables""}","{Telde,""Roquetas de Mar"",Fuengirola}"
554408,Claudioalmaraz@viajes.cl,75691,Huelva,"El Ejido",100,3278,149000,"SNCB (Bélgica)","{Agua,Comida,Baño,Calefacción,TV,Wifi}","{""San Sebastián"",""Palma de Mallorca"",Motril,Barcelona,Elda}"
554424,Luisacuriel@viajes.cl,2151,"Dos Hermanas","Jerez de la Frontera",17,2833,175000,"RZD (Rusia)","{Agua,TV,""Asientos reclinables"",Calefacción,Comida}","{""La Línea de la Concepción"",Estepona,Elche}"
554452,glmool@viajes.cl,98429,Baracaldo,Benidorm,38,1972,85000,"TGV (SNCF)","{Calefacción,Wifi,TV,Comida}",{Rivas-Vaciamadrid}
554464,nasiza@viajes.cl,13969,Lugo,Vigo,28,2393,172000,Eurostar,"{Agua,Wifi,TV,Comida,Baño}","{Getafe,""Santa Cruz de Tenerife"",Gerona}"
554519,frloll@viajes.cl,62426,Arrecife,LéRIDA!!!,48,3503,199000,"SBB (Suiza)","{Wifi,Baño,Agua,TV,Calefacción,""Aire acondicionado""}","{""Ciudad Real"",Motril,""Collado Villalba"",""San Sebastián""}"
554526,Arturoatencio@viajes.cl,24949,Segovia,Coslada,92,257,99000,"ŽFBH (Bosnia y Herzegovina)",{},"{Torrevieja,Benalmádena,Torrelavega}"
554527,Rosamurillo@viajes.cl,17332,"San Sebastián",Motril,92,884,145000,"RZD (Rusia)","{Baño,Agua,TV}",{Valdemoro}
554530,Sta.lugo@viajes.cl,86345,motril#,Gijón,11,3763,356000,"ZS (Eslovenia)","{TV,""Asientos reclinables"",Baño,Wifi,""Aire acondicionado"",Calefacción,Agua}",{Parla}
554597,Lourdeszamora@viajes.cl,55623,Gandía,Fuengirola,36,2498,207000,Italo,"{Calefacción,""Asientos reclinables"",Comida,""Aire acondicionado"",Agua}","{""Santiago de Compostela"",""La Coruña"",Gerona}"
554605,sra.7161@viajes.cl,48266,Fuengirola,Ávila,84,1345,41000,"CD (República Checa)","{TV,Agua,""Aire acondicionado""}","{""Santiago de Compostela"",León,Gerona,Zamora,""San Sebastían de los Reyes""}"
554611,adela3266@viajes.cl,91413,Ávila,Cartagena,36,787,144000,"ZS (Eslovenia)","{Calefacción,Baño,""Aire acondicionado""}",{Guadalajara}
554619,agzerOA@viajes.cl,41892,Valdemoro,Orihuela,55,2746,167000,"ŽSSK (Eslovaquia)","{""Asientos reclinables"",""Aire acondicionado"",Wifi,Comida,Agua}","{Elche,Torrevieja}"
554647,perime@viajes.cl,52405,"Hospitalet de LLobregat","SAN FERNANDO!!!",28,2938,284000,"CD (República Checa)","{Calefacción,Baño,Agua,""Aire acondicionado"",TV,Wifi}","{""El Ejido"",Cartagena,Mataró,Elche}"
554675,SamuelresOondez@viajes.cl,6409,"Collado Villalba",Badalona,2,1279,94000,"VRZ (Croacia)","{Comida,""Asientos reclinables"",Agua}",{Avilés}
554681,adela7630@viajes.cl,23542,Badalona,Gijón,8,1210,121000,"Nederlandse Sp","{""Asientos reclinables"",Calefacción,Baño}","{Ceuta,Albacete,Gecho}"
554746,sr.7960@viajes.cl,17684,marbella#,Badajoz,84,1486,168000,"ZS (Eslovenia)","{Comida,Calefacción,Agua,Baño}","{Estepona,Sabadell,Logroño,Gerona}"
554785,sarome@viajes.ceele,41681,Cartagena,Burgos,81,2510,253000,"ZFBH (Bosnia y Herzegovina)","{Agua,""Aire acondicionado"",Comida,Baño,""Asientos reclinables""}","{""Jerez de la Frontera"",Baracaldo,Málaga,Calahorra,Algeciras}"
554790,sra.6692@viajes.cl,97893,Lorca,Marbella,43,4047,489000,Trenitalia,"{Baño,Wifi,""Aire acondicionado"",""Asientos reclinables"",Calefacción,Comida,TV}","{Ferrol,Torrelavega,Fuenlabrada,""San Fernando"",Paterna}"
554848,Homerohidalgo@viajes.cl,41372,"Molina de Segura","Santiago de Compostela",67,4034,325000,"RZD (Rusia)","{Calefacción,Baño,Agua,TV,Wifi,""Asientos reclinables"",""Aire acondicionado""}","{Vigo,Arrecife,""Santa Lucía de Tirajana"",""Cerdañola del Vallés"",""Mollet del Vallés""}"
554851,sr.8587@viajes.cl,73027,Alicante,Orihuela,57,1319,134000,"TGV (SNCF)","{""Asientos reclinables"",Agua,TV}","{Vigo,Valencia,Majadahonda}"
554852,coesma@viajes.cl,18454,Orihuela,Badalona,93,3776,226000,"NSB (Noruega)","{Wifi,""Asientos reclinables"",Comida,Calefacción,Agua,Baño,TV}","{""Sanlúcar de Barrameda"",Huelva,Ceuta,Linares}"
554854,Julioosorio@viajes.cl,82672,Badalona,Coslada,25,1894,125000,"ZSSK (Eslovaquia)","{""Aire acondicionado"",TV,Baño,Calefacción}","{Orense,Baracaldo}"
554860,beloar@viajes.cl,85590,Elda,Murcia,11,913,68000,Trenitalia,"{""Asientos reclinables"",TV,Baño}","{Cuenta,""San Fernando"",Rivas-Vaciamadrid}"
554861,gabriela2800@viajes.cl,25020,Murcia,Madrid,56,3869,232000,"HŽ (Croacia)","{Wifi,""Aire acondicionado"",TV,Agua,Calefacción,Comida,Baño}","{Arrecife,Mataró,Valencia,""Santa Cruz de Tenerife""}"
554862,fepapo@viajes.cl,64521,Madrid,Mijas,99,3341,323000,"ZS (Eslovenia)","{Wifi,Comida,""Asientos reclinables"",TV,Baño,""Aire acondicionado""}","{""San Fernando"",""La Coruña"",Sabadell,""Las Palmas de Gran Canaria""}"
554872,sodega@viajes.cl,75752,Baracaldo,Bilbao,89,799,42000,"SBB (Suiza)","{Baño,Calefacción,Wifi}","{Sevilla,Benidorm,Mérida}"
554875,jupres@viajes.cl,6782,Cádiz,"Alcalá de Guadaira",71,4249,477000,Trenitalia,"{""Asientos reclinables"",""Aire acondicionado"",Wifi,Agua,Calefacción,Comida,TV}","{""Alcalá de Henares"",Pamplona,Lugo,Salamanca,""El Ejido""}"
554883,marOAa9727@viajes.cl,94260,"Alcalá de Guadaira",León,69,2920,292000,"ZSSK (Eslovaquia)","{Agua,TV,Baño,Calefacción,Comida,""Asientos reclinables""}","{""Castellón de la Plana"",Vitoria,Cartagena}"
554884,gerardo2022@viajes.cl,67972,León,Benalmádena,49,4152,416000,"VR (Finlandia)","{""Asientos reclinables"",Comida,Calefacción,Baño,Wifi,Agua,TV}","{Avilés,Vitoria,Ceuta,""San Cristróbal de la Laguna"",""La Coruña""}"
554905,emilio1416@viajes.cl,78528,"San Cristróbal de la Laguna",Oviedo,77,1648,131000,"VR (Finlandia)","{TV,Comida,Baño,Agua}","{""Santa Lucía de Tirajana"",Salamanca,Alicante,Huelva}"
554909,martOAn7187@viajes.cl,1393,"Santiago de Compostela",Sabadell,83,1985,60000,"SBB (Suiza)","{""Asientos reclinables"",Baño,Comida,""Aire acondicionado""}","{""El Prat de LLobregat"",Alcorcón,Calahorra}"
554925,Lucascrespo@viajes.cl,83581,toledo#,Zamora,17,296,127000,"NS International",{},{Benidorm}
554930,Fernandopizarro@viajes.cl,52686,Zamora,Granollers,2,3519,379000,"ŽFBH (Bosnia y Herzegovina)","{""Aire acondicionado"",TV,Comida,Calefacción,Baño,""Asientos reclinables""}","{Granollers,Lorca}"
554952,sacapa@viajes.cl,77597,"San Sebastían de los Reyes",Guadalajara,56,3965,287000,"ZS (Eslovenia)","{Baño,TV,Comida,""Aire acondicionado"",Agua,""Asientos reclinables"",Calefacción}","{""Santiago de Compostela"",Granollers,""Collado Villalba"",Alicante}"
554960,gerardo9129@viajes.cl,56092,Guadalajara,Arrecife,22,924,141000,"PKP (Polonia)","{TV,""Aire acondicionado"",Comida}","{""Las Palmas de Gran Canaria"",Viladecans}"
554961,sra.2677@viajes.cl,38775,Arrecife,"Santa Coloma de Gramanet",62,927,98000,Renfe,"{Comida,Calefacción,Agua}","{Orense,Sevilla,Telde,Mijas}"
554976,beybvi@viajes.cl,64303,Móstoles,Leganés,70,2898,241000,"BDZ (Bulgaria)","{Comida,""Asientos reclinables"",""Aire acondicionado"",Agua,Wifi,Baño}","{Ávila,""El Ejido""}"
554989,girota@viajes.cl,87031,"Castellón de la Plana",Torremolinos,31,1921,72000,"NS International","{Comida,""Asientos reclinables"",TV,Baño}","{Ponferrada,Tarragona,Gecho}"
554992,esteban919@viajes.cl,11628,Torremolinos,Logroño,36,2932,286000,"PKP (Polonia)","{""Asientos reclinables"",Comida,""Aire acondicionado"",Agua,TV,Wifi}","{Cuenta,Torremolinos,""Sanlúcar de Barrameda"",Ávila}"
554996,marcela9572@viajes.cl,64939,Málaga,"San Cristróbal de la Laguna",88,3820,286000,Thalys,"{Baño,Comida,Calefacción,Wifi,TV,""Asientos reclinables"",Agua}","{Calahorra,Benalmádena,""Sanlúcar de Barrameda"",Avilés}"
554998,claudio7970@viajes.cl,6981,"San Cristróbal de la Laguna",Cáceres,88,1023,104000,"CD (República Checa)","{Agua,Baño,TV}","{Bilbao,""Chiclana de la Frontera"",""Jerez de la Frontera"",Elda,""Santiago de Compostela""}"
555017,joemleol@viajes.cl,51877,Cáceres,Ceuta,47,2898,144000,Italo,"{TV,Agua,Wifi,""Aire acondicionado"",""Asientos reclinables"",Calefacción}",{Toledo}
555019,Luzzepeda@viajes.cl,83969,"Santa Cruz de Tenerife","Santa Cruz de Tenerife",84,3501,290000,"DSB (Dinamarca)","{Baño,""Asientos reclinables"",Agua,Wifi,TV,Comida}","{Inca,Lorca,Algeciras,Vigo}"
555042,marta9699@viajes.cl,4902,Salamanca,Barcelona,11,3569,129000,"VR (Finlandia)","{Agua,TV,Baño,Comida,""Aire acondicionado"",Calefacción}","{Barcelona,Ceuta,Guadalajara,Elda}"
555055,crgapo@viajes.cl,40537,"Pozuelo de Alarcón",Estepona,68,3739,241000,"ŽSSK (Eslovaquia)","{Baño,Agua,""Asientos reclinables"",""Aire acondicionado"",TV,Wifi,Calefacción}","{Ceuta,Motril,Huelva,Granada,Parla}"
555060,MarOAapuente@viajes.cl,25402,Estepona,Toledo,71,2813,169000,Eurostar,"{Baño,Wifi,Comida,TV,Calefacción}","{Puertollano,Rubí,Benalmádena,Mérida,Alicante}"
555061,paceru@viajes.cl,37938,Toledo,Tarrasa,67,157,119000,"PKP (Polonia)",{},"{Córdoba,Manresa}"
555080,sra.4397@viajes.cl,x,Sagunto,"COLLADO VILLALBA!!!",30,x,x,"ZS (Eslovenia)","{""Aire acondicionado"",Comida,TV,Baño,""Asientos reclinables"",Wifi}",{Badajoz}
555097,glzaes@viajes.cl,17455,Fuenlabrada,Torremolinos,82,1870,191000,"MÁV (Hungría)","{""Aire acondicionado"",Calefacción,Comida,""Asientos reclinables""}","{Guadalajara,""El Puerto de Santa María"",Orihuela,Palencia}"
555102,isabel4543@viajes.cl,76676,Baracaldo,"POZUELO DE ALARCóN!!!",2,770,100000,"NS International","{""Aire acondicionado"",""Asientos reclinables"",Wifi}","{Córdoba,Tarragona}"
555157,horacio9994@viajes.cl,52092,Gandía,"El Puerto de Santa María",24,2105,89000,"ÖBB (Austria)","{Comida,""Aire acondicionado"",""Asientos reclinables"",Calefacción}","{Granada,Alcoy,Gijón}"
555166,grapdo@viajes.cl,64623,Fuenlabrada,Lugo,x,319,42000,"ZFBH (Bosnia y Herzegovina)",{},{Orihuela}
555167,maanvecu@viajes.ceele,33364,Torrelavega,"LA LíNEA DE LA CONCEPCIóN!!!",26,2273,220000,"ZS (Eslovenia)","{Baño,TV,""Aire acondicionado"",""Asientos reclinables"",Wifi}","{""Ciudad Real""}"
555185,gimapu@viajes.cl,42739,"La Línea de la Concepción","San Sebastián",17,3005,227000,"HŽ (Croacia)","{Baño,Wifi,Agua,Calefacción,TV,Comida}","{Sevilla,Palencia}"
555188,coramo@viajes.cl,60909,"La Línea de la Concepción",LEGANéS!!!,23,268,108000,"RZD (Rusia)",{},{Puertollano}
555189,stcrcabu@viajes.cl,40797,Leganés,"El Prat de LLobregat",58,847,42000,"ZS (Eslovenia)","{""Aire acondicionado"",Comida,Baño}","{Ávila,""Chiclana de la Frontera"",Rivas-Vaciamadrid,Torrevieja,Cádiz}"
555193,victoria4709@viajes.cl,62257,"El Prat de LLobregat",BARACALDO!!!,95,3896,298000,"RZD (Rusia)","{TV,Comida,""Asientos reclinables"",Wifi,Baño,Agua,Calefacción}","{Torrelavega,Avilés}"
555204,ramiro1907@viajes.cl,96245,Gandía,"Sanlúcar de Barrameda",12,3131,308000,"BDZ (Bulgaria)","{Comida,""Asientos reclinables"",TV,Calefacción,""Aire acondicionado"",Agua}","{Gecho,Lérida,Gandía,Puertollano}"
555206,bevava@viajes.cl,84288,Cáceres,Lérida,82,2052,162000,"NSB (Noruega)","{""Aire acondicionado"",""Asientos reclinables"",Baño,Agua}","{Irún,Cáceres}"
555207,rosa2736@viajes.cl,63166,"Palma de Mallorca",Motril,32,2766,234000,"ŽSSK (Eslovaquia)","{Comida,Baño,TV,Wifi,""Aire acondicionado""}","{Orihuela,Arrecife}"
555208,sta.6264@viajes.cl,20388,Motril,TARRASA!!!,51,4014,267000,"TGV (SNCF)","{Baño,TV,Agua,Wifi,Comida,Calefacción,""Aire acondicionado""}",{Ceuta}
555222,leonor9716@viajes.ceele,33891,"Ciudad Real",Lugo,x,4250,162000,"TGV (SNCF)",x,"{Paterna,Lorca,Valladolid,""Santa Cruz de Tenerife""}"
555257,MarOAavOolez@viajes.cl,84661,Leganés,"Santa Lucía de Tirajana",35,3810,299000,"BDZ (Bulgaria)","{""Aire acondicionado"",Wifi,Comida,TV,Baño,Calefacción,""Asientos reclinables""}","{""La Línea de la Concepción"",Pontevedra,""Ciudad Real"",Sevilla,Sagunto}"
555303,sra.5997@viajes.cl,63178,Granada,Getafe,56,2798,100000,"CD (República Checa)","{Agua,Comida,Baño,""Aire acondicionado"",Calefacción}","{Toledo,Alcorcón}"
555304,MarOAapuente@viajes.cl,68330,Getafe,Ávila,77,4160,459000,"ZFBH (Bosnia y Herzegovina)","{TV,Agua,Calefacción,""Aire acondicionado"",""Asientos reclinables"",Comida,Wifi}","{Motril,Benalmádena,""Palma de Mallorca""}"
555312,horacio9994@viajes.cl,42395,Ávila,Torrelavega,65,4180,194000,Eurostar,"{""Aire acondicionado"",Baño,Wifi,Calefacción,Comida,""Asientos reclinables"",TV}","{Mérida,Torrevieja}"
555336,magufi@viajes.cl,44886,Pamplona,Segovia,50,4040,318000,Thalys,"{Wifi,""Asientos reclinables"",Calefacción,Baño,TV,""Aire acondicionado"",Comida}","{Fuengirola,""Chiclana de la Frontera"",Majadahonda,""Jerez de la Frontera""}"
555383,javier7990@viajes.cl,20794,mijas#,Bilbao,38,4163,410000,Trenitalia,"{""Asientos reclinables"",""Aire acondicionado"",Wifi,TV,Comida,Agua,Baño}",{Bilbao}
555390,Juliovaca@viajes.cl,5592,Bilbao,Gijón,97,3916,321000,"BDZ (Bulgaria)","{Comida,TV,""Aire acondicionado"",Baño,Agua,Wifi,Calefacción}","{Mérida,Gijón,Ferrol}"
555396,armoma@viajes.cl,87349,Pamplona,INCA!!!,49,671,91000,"NS International",{},"{Zamora,""San Fernando"",Baracaldo,Rubí}"
555413,agustOAn8620@viajes.cl,17230,avilés#,"Santa Coloma de Gramanet",100,3035,145000,Eurostar,"{Calefacción,""Asientos reclinables"",""Aire acondicionado"",Wifi,TV,Baño}","{""Alcalá de Guadaira"",Segovia,Salamanca,""Talavera de la Reina"",""Palma de Mallorca""}"
555444,saolma@viajes.cl,40946,Mijas,"Hospitalet de LLobregat",8,544,53000,Renfe,{},"{Elche,""El Ejido"",Paterna}"
555447,yoaror@viajes.cl,71012,"Palma de Mallorca","Las Palmas de Gran Canaria",81,1758,118000,Renfe,"{Agua,""Asientos reclinables"",""Aire acondicionado"",Wifi}","{Sabadell,Tarrasa,""Alcalá de Henares""}"
555474,stmaarma@viajes.cl,90491,Cuenta,Zamora,94,1539,177000,"RZD (Rusia)","{""Asientos reclinables"",Baño,Wifi,TV}","{Leganés,""La Coruña"",Alicante,Alicante}"
555475,srhuolso@viajes.cl,20780,Zamora,Lorca,24,2530,128000,"CFR (Rumania)","{Calefacción,TV,""Asientos reclinables"",Wifi,""Aire acondicionado""}","{Getafe,Salamanca}"
555498,Sr.orosco@viajes.cl,64664,"Alcalá de Henares",Madrid,34,1690,111000,"ÖBB (Austria)","{TV,Baño,""Aire acondicionado"",Wifi}","{Fuenlabrada,Palencia,Calahorra,Córdoba}"
555506,inOos6105@viajes.cl,92442,Estepona,"Santa Cruz de Tenerife",28,3012,243000,"CFR (Rumania)","{Calefacción,Comida,Baño,TV,Agua,""Asientos reclinables""}","{Valladolid,Murcia,Rivas-Vaciamadrid,""Collado Villalba""}"
