codigo_reserva,correo_empleado,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo,comodidades
557603,Virginiaparedes@viajes.cl,71877,Algeciras,Albacete,49,2903,56000,Plusmar,Cama,"{""Asientos reclinables"",Wifi,""Aire acondicionado""}"
557615,rocio3460@viajes.ceele,65694,inca#,Coslada,32,976,100000,Avanza,Cama,"{TV,""Asientos reclinables"",Baño}"
557619,sara8283@viajes.cl,10766,Granada,Badajoz,44,2466,156000,"Buses Bio Bio",Cama,"{Baño,Calefacción,Comida}"
557623,samuel2369@viajes.cl,17721,Badajoz,Móstoles,35,1210,173000,ADO,Cama,"{Wifi,""Asientos reclinables"",Baño}"
557624,Julialeal@viajes.cl,46070,Móstoles,Elda,45,1423,150000,"Condor Bus",Cama,"{""Aire acondicionado"",Wifi,Comida}"
557655,ana514@viajes.cl,35970,Viladecans,Viladecans,35,2873,126000,BoltBus,Cama,"{Wifi,Comida,Calefacción}"
557670,ElisalOIpez@viajes.cl,92476,Badalona,Mérida,50,3796,138000,Plusmar,Cama,"{Comida,""Aire acondicionado"",TV}"
557673,enrique2788@viajes.cl,68238,Mérida,Logroño,32,1971,98000,"Buses Romani",Cama,"{Baño,Wifi,Calefacción}"
557679,crriva@viajes.cl,15585,Valdemoro,"Ciudad Real",37,503,122000,"Buses Romani",Cama,"{""Aire acondicionado"",Agua,Calefacción}"
557687,lorenzo950@viajes.cl,37241,"Las Palmas de Gran Canaria",Segovia,32,2681,81000,Futura,Cama,"{Calefacción,TV,""Asientos reclinables""}"
557699,DOoboraabrego@viajes.ceele,60399,Ceuta,"San Fernando",49,2142,100000,"Buses Bio Bio",Cama,"{""Aire acondicionado"",Calefacción,Comida}"
557700,cldeca@viajes.cl,31857,Móstoles,Avilés,32,3021,119000,"Omnibus de México",Cama,"{Wifi,Comida,TV}"
557706,carmen2339@viajes.cl,13825,"Pozuelo de Alarcón",Torrevieja,40,2639,87000,Greyhound,Cama,"{""Asientos reclinables"",Agua,TV}"
557715,Sr.perea@viajes.cl,37312,"Castellón de la Plana",Alcobendas,34,1439,176000,"Estrella Roja",Cama,"{Agua,Comida,""Aire acondicionado""}"
557736,sra.6166@viajes.ceele,67743,Torrevieja,VITORIA!!!,46,3334,94000,"El Rápido Internacional",Cama,"{TV,""Asientos reclinables"",Wifi}"
557739,rebeca3851@viajes.cl,90944,Móstoles,"San Fernando",37,953,128000,"Crucero del Norte",Cama,"{Calefacción,Baño,Comida}"
557747,macori@viajes.cl,44573,"San Fernando",Badajoz,38,3840,136000,Andesmar,Cama,"{Agua,Wifi,TV}"
557755,david1544@viajes.cl,76649,Mataró,Manresa,47,3994,122000,"Condor Bus",Cama,"{""Aire acondicionado"",Baño,Calefacción}"
557756,Patriciobahena@viajes.cl,61355,Manresa,Oviedo,32,4270,94000,"Buses Romani",Cama,"{TV,Wifi,""Aire acondicionado""}"
557759,sra.4066@viajes.cl,30304,Oviedo,Alcorcón,36,4197,62000,"Buses Romani",Cama,"{Comida,Wifi,Baño}"
557831,octavio2345@viajes.cl,10292,Granollers,x,43,1060,148000,Alsa,Cama,x
557837,Mariomireles@viajes.cl,234,"san fernando#",Sabadell,43,1794,190000,BoltBus,Cama,"{""Aire acondicionado"",Calefacción,""Asientos reclinables""}"
557842,garaca@viajes.ceele,65077,Sabadell,Paterna,46,3831,183000,"Crucero del Norte",Cama,"{""Aire acondicionado"",Comida,Calefacción}"
557847,Juanzapata@viajes.cl,73407,"Santa Cruz de Tenerife",Estepona,49,1543,188000,"El Rápido Internacional",Cama,"{Calefacción,Comida,""Aire acondicionado""}"
557856,sta.8454@viajes.cl,47780,Murcia,"La Línea de la Concepción",35,153,13000,Damas,Normal,"{""Asientos reclinables"",Baño,Calefacción}"
557858,Mercedesriojas@viajes.ceele,36142,Viladecans,Orense,45,450,53000,Monbus,Semi-cama,"{""Aire acondicionado"",Comida,Wifi}"
557859,sta.893@viajes.cl,96776,Orense,"Cornellá de Llobregat",40,2793,68000,JetSur,Cama,"{Calefacción,Comida,""Asientos reclinables""}"
557860,Raquelgallegos@viajes.cl,9082,"Cornellá de Llobregat",Cuenta,50,2241,187000,"Flecha Bus",Cama,"{Calefacción,TV,""Aire acondicionado""}"
557904,Sra.carvajal@viajes.cl,64357,Getafe,Burgos,32,2050,156000,Futura,Cama,"{Wifi,Comida,""Asientos reclinables""}"
557907,yorahu@viajes.cl,63930,Burgos,"El Ejido",36,2903,133000,Greyhound,Cama,"{Calefacción,Baño,""Asientos reclinables""}"
557908,irlini@viajes.cl,34432,"El Ejido",Ferrol,50,1906,66000,"Via Bariloche",Cama,"{Baño,Comida,Agua}"
557914,Cristobalarenas@viajes.cl,5268,Parla,Torrevieja,48,4227,93000,Socibus,Cama,"{""Aire acondicionado"",""Asientos reclinables"",TV}"
557941,rabade@viajes.cl,33713,Paterna,"Torrejón de Ardoz",34,2536,107000,Futura,Cama,"{Calefacción,Baño,TV}"
557942,jorge2679@viajes.cl,31116,"Torrejón de Ardoz",Badalona,42,3444,72000,Avanza,Cama,"{Agua,Comida,Wifi}"
557943,COosardelgadillo@viajes.cl,30537,Badalona,Córdoba,37,2385,62000,"EME Bus",Cama,"{Calefacción,""Aire acondicionado"",Wifi}"
557949,sr.9835@viajes.cl,2933,"Roquetas de Mar",Ferrol,35,2819,186000,Avanza,Cama,"{Wifi,Agua,""Aire acondicionado""}"
557951,Sta.solOAs@viajes.cl,94206,Torrelavega,Granollers,44,1003,67000,"Crucero del Norte",Cama,"{TV,Calefacción,""Asientos reclinables""}"
557958,Raquelgallegos@viajes.ceele,32467,Huelva,Estepona,46,3670,136000,Andesmar,Cama,"{Baño,Wifi,Agua}"
557961,Gustavopacheco@viajes.cl,98793,Manresa,Tarrasa,43,2559,71000,JetSur,Cama,"{Comida,""Aire acondicionado"",Baño}"
557963,InOosvenegas@viajes.cl,66821,Tarrasa,Santander,41,1610,199000,"Buses Romani",Cama,"{TV,Comida,Agua}"
557986,horacio2141@viajes.cl,6527,Orense,"Dos Hermanas",40,1103,175000,Chevallier,Cama,"{Comida,""Asientos reclinables"",Wifi}"
557995,ragaca@viajes.cl,28100,"Alcalá de Henares",Algeciras,31,2617,161000,"El Rápido Internacional",Cama,"{TV,Baño,Calefacción}"
557997,sta.9995@viajes.cl,65808,"Alcalá de Guadaira",Alcorcón,35,179,30000,Avanza,Normal,"{Agua,Wifi,Comida}"
558007,Vicenteolivera@viajes.cl,71426,Barcelona,"La Línea de la Concepción",32,2604,115000,FlixBus,Cama,"{Calefacción,Agua,Wifi}"
558008,Ceciliadelvalle@viajes.cl,32933,"La Línea de la Concepción",Valdemoro,33,3801,84000,Alsa,Cama,"{TV,Calefacción,Comida}"
558009,pilar5483@viajes.cl,42603,valdemoro#,"EL PUERTO DE SANTA MARíA!!!",30,365,58000,"Primera Plus",Cama,"{""Aire acondicionado"",Agua,Calefacción}"
558030,yolanda8879@viajes.cl,55538,Murcia,Cartagena,44,3542,50000,Andesmar,Cama,"{Calefacción,Agua,""Asientos reclinables""}"
558096,marcela9572@viajes.cl,67648,Oviedo,Sagunto,35,2079,153000,"EME Bus",Cama,"{Comida,""Aire acondicionado"",""Asientos reclinables""}"
558107,dosevi@viajes.ceele,89989,tarrasa#,PALENCIA!!!,31,1693,192000,FlixBus,Cama,"{Comida,""Asientos reclinables"",Agua}"
558126,coramo@viajes.ceele,64131,"Mollet del Vallés",Mérida,37,1165,124000,"Buses Romani",Cama,"{Baño,Wifi,""Asientos reclinables""}"
558133,srmasabu@viajes.cl,53427,Mérida,"Talavera de la Reina",45,442,86000,BoltBus,Cama,"{TV,Comida,Wifi}"
558139,lorena3710@viajes.cl,40270,Guadalajara,Lorca,37,1695,117000,"Crucero del Norte",Cama,"{""Aire acondicionado"",Wifi,Comida}"
558146,gavesa@viajes.cl,11877,Granollers,"Palma de Mallorca",50,163,36000,Alsa,Normal,"{Comida,TV,Wifi}"
558150,stsaalre@viajes.cl,57925,"palma de mallorca#","La Línea de la Concepción",43,450,87000,"Flecha Bus",Cama,"{Calefacción,Wifi,Comida}"
558158,Sta.valdivia@viajes.cl,13160,Alcobendas,Ponferrada,37,3021,57000,"Buses Nilahue",Cama,"{Wifi,""Asientos reclinables"",TV}"
558163,david8760@viajes.cl,79937,Ponferrada,Benidorm,47,3589,146000,Alsa,Cama,"{Wifi,""Aire acondicionado"",Calefacción}"
558207,viarba@viajes.ceele,79358,"Talavera de la Reina","San Sebastián",46,2169,168000,ADO,Cama,"{Agua,Baño,TV}"
558213,AdOentrejo@viajes.cl,54305,"San Sebastián",Coslada,48,3708,185000,Greyhound,Cama,"{Comida,Agua,Wifi}"
558219,arsana@viajes.cl,49648,Alcobendas,Almería,42,1156,63000,BoltBus,Cama,"{Baño,Calefacción,""Asientos reclinables""}"
558225,Luisceballos@viajes.cl,38794,Almería,Alicante,44,2878,60000,"Pullman Bus",Cama,"{Calefacción,Wifi,Comida}"
558311,diego416@viajes.cl,42274,Sevilla,Gecho,40,649,59000,"Primera Plus",Cama,"{Calefacción,Wifi,Comida}"
558336,jolucoal@viajes.cl,15267,"Jerez de la Frontera",Gandía,44,3195,127000,JetSur,Cama,"{""Asientos reclinables"",""Aire acondicionado"",Wifi}"
558342,agustOAn6873@viajes.cl,57226,majadahonda#,"El Puerto de Santa María",34,2033,74000,"Buses Bio Bio",Cama,"{Calefacción,Baño,TV}"
558350,gonzalo9263@viajes.cl,70979,"El Ejido",Cáceres,42,778,50000,FlixBus,Cama,"{""Aire acondicionado"",""Asientos reclinables"",Baño}"
558356,milool@viajes.cl,43349,Cáceres,Segovia,50,1168,127000,"Buses Bio Bio",Cama,"{Wifi,""Asientos reclinables"",TV}"
558357,srjucOorame@viajes.ceele,38881,calahorra#,Tarrasa,30,2029,133000,Megabus,Cama,"{""Aire acondicionado"",Baño,Calefacción}"
558365,Jorgecasanova@viajes.cl,75125,x,Palencia,x,2868,65000,"Condor Bus",Cama,"{Baño,Wifi,Comida}"
558366,emilio4779@viajes.cl,33581,Orense,Gijón,32,526,149000,FlixBus,Semi-cama,"{""Asientos reclinables"",Agua,Wifi}"
558369,tomOes2271@viajes.cl,94958,Barcelona,Alcoy,43,3222,127000,Chevallier,Cama,"{TV,Wifi,Baño}"
558374,sta.6264@viajes.cl,50911,Alcoy,Bilbao,39,4246,89000,"Via Bariloche",Cama,"{""Asientos reclinables"",TV,Agua}"
558383,Sr.mota@viajes.cl,33298,"Roquetas de Mar",Burgos,33,1713,186000,Megabus,Cama,"{""Asientos reclinables"",Comida,Baño}"
558384,majosade@viajes.cl,4202,Burgos,Albacete,38,3258,76000,FlixBus,Cama,"{""Aire acondicionado"",Baño,Agua}"
558391,Pablotejeda@viajes.cl,5374,Lorca,"El Ejido",39,2567,195000,"Omnibus de México",Cama,"{Comida,Wifi,Agua}"
558403,micalu@viajes.cl,31565,Tarragona,Ceuta,46,2843,195000,"Buses Nilahue",Cama,"{Wifi,Comida,""Asientos reclinables""}"
558408,Adrianazaragoza@viajes.cl,8199,Ceuta,"Sanlúcar de Barrameda",32,2119,106000,"El Rápido Internacional",Cama,"{Wifi,""Asientos reclinables"",Agua}"
558410,guadalupe6933@viajes.cl,5719,Sabadell,"San Sebastían de los Reyes",48,1996,187000,"Buses Bio Bio",Cama,"{""Aire acondicionado"",Agua,TV}"
558419,Guillerminaserrano@viajes.cl,29440,Cádiz,Irún,45,4228,83000,"El Rápido Internacional",Cama,"{Calefacción,""Aire acondicionado"",Baño}"
558433,gocere@viajes.cl,17213,Avilés,Sabadell,48,2609,167000,Avanza,Cama,"{Wifi,Baño,Agua}"
558434,dialsa@viajes.cl,33780,Sabadell,Mijas,34,933,126000,"Condor Bus",Cama,"{""Asientos reclinables"",Agua,Wifi}"
558435,sta.8735@viajes.cl,5883,Mijas,Guadalajara,48,3234,117000,"El Rápido Internacional",Cama,"{Comida,Baño,Agua}"
558488,starvOera@viajes.cl,56016,Valencia,Albacete,50,4122,182000,"El Rápido Internacional",Cama,"{Comida,""Aire acondicionado"",Agua}"
558489,Nataliaescobedo@viajes.cl,93786,Albacete,Viladecans,48,329,38000,"Omnibus de México",Normal,"{Calefacción,TV,Baño}"
558490,riniga@viajes.cl,18373,Viladecans,"Hospitalet de LLobregat",37,1584,79000,ADO,Cama,"{""Aire acondicionado"",""Asientos reclinables"",Comida}"
558524,Gilbertomontero@viajes.cl,62665,Gijón,Benidorm,42,2413,69000,"Condor Bus",Cama,"{Calefacción,Baño,Agua}"
558529,felipe6550@viajes.ceele,39698,Benidorm,Cartagena,31,2468,108000,Chevallier,Cama,"{Comida,Wifi,""Aire acondicionado""}"
558547,Micaelanavarro@viajes.cl,15550,"Hospitalet de LLobregat",Valdemoro,45,2655,65000,Chevallier,Cama,"{Comida,Baño,Agua}"
558571,david8760@viajes.cl,46119,"Santa Cruz de Tenerife",Alcoy,48,3524,109000,Damas,Cama,"{""Aire acondicionado"",Baño,TV}"
558576,Guillerminanazario@viajes.cl,39984,Alcoy,Córdoba,37,230,13000,Monbus,Normal,"{TV,Comida,Wifi}"
558579,saromo@viajes.cl,43946,Granada,Alcorcón,39,3426,188000,"EME Bus",Cama,"{Calefacción,Wifi,Baño}"
558583,Catalinavillarreal@viajes.cl,78463,Fuenlabrada,Gijón,40,3305,56000,Chevallier,Cama,"{Calefacción,TV,Agua}"
558633,cristobal9533@viajes.cl,58422,"Jerez de la Frontera",Granada,44,816,139000,"Primera Plus",Cama,"{Comida,TV,""Aire acondicionado""}"
558635,belave@viajes.cl,79037,Lérida,Cáceres,33,2402,130000,ADO,Cama,"{Baño,Comida,""Aire acondicionado""}"
558639,Doroteavaldivia@viajes.cl,92774,Cáceres,Guadalajara,46,271,66000,"Omnibus de México",Normal,"{""Asientos reclinables"",Comida,TV}"
558647,lobeal@viajes.cl,21863,"Molina de Segura",Mérida,45,2607,195000,Megabus,Cama,"{Baño,Wifi,""Asientos reclinables""}"
558686,Micaelanavarro@viajes.cl,44795,"La Línea de la Concepción","Ciudad Real",37,4310,68000,Alsa,Cama,"{""Asientos reclinables"",Calefacción,Agua}"
558696,Guadalupesosa@viajes.cl,13971,Parla,Coslada,31,597,53000,"Buses Romani",Semi-cama,"{Calefacción,Baño,TV}"
558697,hebOogo@viajes.cl,13239,Coslada,Zaragoza,40,2641,200000,ADO,Cama,"{""Aire acondicionado"",TV,Comida}"
558776,sr.4355@viajes.cl,83071,Zamora,ALGECIRAS!!!,46,543,93000,"Buses Nilahue",Cama,"{Calefacción,Comida,Agua}"
558778,Gilbertolomeli@viajes.cl,62720,"Sanlúcar de Barrameda","El Ejido",37,2522,71000,Socibus,Cama,"{TV,Wifi,Calefacción}"
558797,berta1841@viajes.ceele,56529,Badajoz,Manresa,41,2434,145000,"Condor Bus",Cama,"{Baño,Comida,Wifi}"
558807,Sta.valverde@viajes.cl,79785,León,Huelva,30,2709,63000,"EME Bus",Cama,"{Agua,TV,Comida}"
558810,humaco@viajes.cl,90743,Alcobendas,"Jerez de la Frontera",31,2083,116000,"Via Bariloche",Cama,"{Baño,""Aire acondicionado"",TV}"
558813,ana3277@viajes.cl,47192,x,Lugo,39,2183,97000,x,Cama,x
558826,RaqueldomOAnguez@viajes.cl,11676,Vitoria,Fuenlabrada,49,3346,54000,Chevallier,Cama,"{Baño,Calefacción,TV}"
558827,evvOegi@viajes.cl,60770,Fuenlabrada,Lugo,35,2090,167000,JetSur,Cama,"{Agua,Baño,Wifi}"
558867,hebOogo@viajes.cl,11900,Ávila,Cádiz,30,1193,67000,Avanza,Cama,"{""Asientos reclinables"",Comida,TV}"
558868,cristian6579@viajes.cl,7826,Cádiz,"Torrejón de Ardoz",32,2266,115000,"Buses Romani",Cama,"{Baño,""Asientos reclinables"",Comida}"
558890,gualor@viajes.cl,98904,"Cerdañola del Vallés",Tarrasa,36,2408,113000,"Omnibus de México",Cama,"{TV,Wifi,Agua}"
558900,jaboca@viajes.cl,44652,Pontevedra,"Santa Coloma de Gramanet",39,2499,136000,Avanza,Cama,"{""Asientos reclinables"",Agua,Wifi}"
558905,gavesa@viajes.cl,2176,Pamplona,Ceuta,41,481,133000,"Condor Bus",Cama,"{""Aire acondicionado"",TV,Baño}"
558965,Sr.zarate@viajes.cl,80607,tarrasa#,Benidorm,48,860,90000,"Flecha Bus",Cama,"{Baño,Comida,Agua}"
558970,Sr.saldivar@viajes.cl,5418,Benidorm,Cáceres,31,3027,132000,"Omnibus de México",Cama,"{""Asientos reclinables"",Agua,""Aire acondicionado""}"
558972,LuisamunguOAa@viajes.cl,9377,Cáceres,Getafe,38,814,171000,BoltBus,Cama,"{""Aire acondicionado"",Comida,Baño}"
558978,Sra.rocha@viajes.cl,63044,"sanlúcar de barrameda#",Majadahonda,30,914,124000,Chevallier,Cama,"{TV,Agua,Baño}"
558992,garaal@viajes.cl,69066,Reus,Tarrasa,31,2233,56000,Socibus,Cama,"{Agua,""Aire acondicionado"",TV}"
559000,timoteo4318@viajes.cl,47046,Tarrasa,"Alcalá de Guadaira",30,2949,189000,Monbus,Cama,"{Comida,""Aire acondicionado"",Agua}"
559006,sra.3640@viajes.cl,67488,Alcobendas,Zaragoza,42,2402,197000,"Primera Plus",Cama,"{""Asientos reclinables"",Baño,Calefacción}"
559021,srliurme@viajes.cl,19990,Badalona,Lérida,43,1362,53000,"Buses Ahumada",Cama,"{Baño,""Aire acondicionado"",Calefacción}"
559026,arciro@viajes.cl,81654,Mataró,Ceuta,32,1429,51000,"Estrella Roja",Cama,"{Calefacción,Baño,""Asientos reclinables""}"
559027,Sta.puga@viajes.cl,40331,"San Sebastián",Sabadell,43,2325,118000,"EME Bus",Cama,"{Calefacción,Agua,TV}"
559035,calode@viajes.cl,8835,Sabadell,Lorca,38,3378,50000,Alsa,Cama,"{""Asientos reclinables"",""Aire acondicionado"",Comida}"
559036,marOAa5411@viajes.cl,77417,Zaragoza,"La Línea de la Concepción",45,3590,100000,Andesmar,Cama,"{Comida,Wifi,TV}"
559037,Sta.valles@viajes.cl,83625,"La Línea de la Concepción",Segovia,50,4049,50000,BoltBus,Cama,"{""Aire acondicionado"",TV,Comida}"
559049,srlemaci@viajes.cl,43379,Parla,Marbella,45,584,62000,"EME Bus",Cama,"{""Asientos reclinables"",""Aire acondicionado"",Calefacción}"
559057,pedro2581@viajes.cl,30178,marbella#,Arrecife,34,3011,68000,Damas,Cama,"{Wifi,Calefacción,TV}"
559066,ercode@viajes.ceele,96854,"Santa Cruz de Tenerife",Getafe,31,3362,81000,Plusmar,Cama,"{TV,Calefacción,""Asientos reclinables""}"
559074,stjoartOo@viajes.cl,48143,Getafe,VITORIA!!!,47,2106,77000,"Pullman Bus",Cama,"{Agua,Comida,""Asientos reclinables""}"
559075,hugo336@viajes.cl,61349,Vitoria,Torremolinos,37,3627,93000,"ETN Turistar",Cama,"{Agua,""Asientos reclinables"",Comida}"
559078,Catalinaolivas@viajes.cl,64487,Gerona,Linares,46,2100,62000,Alsa,Cama,"{Calefacción,""Asientos reclinables"",Agua}"
559094,sr.289@viajes.cl,72711,Valencia,Fuengirola,37,1684,150000,FlixBus,Cama,"{Calefacción,TV,Agua}"
559104,Marioescobedo@viajes.cl,71907,"San Fernando",Zamora,32,3029,121000,Damas,Cama,"{""Asientos reclinables"",""Aire acondicionado"",Comida}"
559106,sra.5341@viajes.ceele,96780,Zamora,Palencia,34,665,130000,"ETN Turistar",Cama,"{Calefacción,Comida,""Aire acondicionado""}"
559109,Estelatafoya@viajes.cl,16602,Palencia,Sevilla,37,2925,53000,BoltBus,Cama,"{TV,Comida,""Aire acondicionado""}"
559124,sta.2588@viajes.cl,5136,Cartagena,Gecho,33,214,15000,Alsa,Normal,"{""Aire acondicionado"",Comida,""Asientos reclinables""}"
559129,Catalinaaguirre@viajes.cl,25421,Gecho,Valladolid,43,1571,194000,"Omnibus de México",Cama,"{Agua,Calefacción,TV}"
559130,Dianarivera@viajes.cl,49268,Valladolid,"San Fernando",37,4196,99000,"Condor Bus",Cama,"{TV,Wifi,Calefacción}"
559137,Sra.rocha@viajes.cl,78721,"Hospitalet de LLobregat","Santa Cruz de Tenerife",32,2249,200000,"Via Bariloche",Cama,"{""Aire acondicionado"",Baño,""Asientos reclinables""}"
559138,srpideme@viajes.cl,22197,"Santa Cruz de Tenerife",Alcoy,47,190,20000,Damas,Normal,"{TV,Agua,""Asientos reclinables""}"
559175,Sta.mondragOIn@viajes.cl,55572,Cáceres,Burgos,40,1482,102000,Andesmar,Cama,"{Baño,Agua,Wifi}"
559176,JosOoalmanza@viajes.cl,91514,Burgos,Almería,50,3898,128000,JetSur,Cama,"{Agua,Baño,""Asientos reclinables""}"
559192,irene6490@viajes.cl,46126,Madrid,Puertollano,43,1692,197000,"EME Bus",Cama,"{Comida,""Aire acondicionado"",Calefacción}"
559193,alpequ@viajes.cl,92734,Puertollano,Elche,45,3202,151000,"ETN Turistar",Cama,"{Calefacción,Comida,""Asientos reclinables""}"
559200,sra.7945@viajes.ceele,80864,alcorcón#,"Collado Villalba",33,3805,99000,"Primera Plus",Cama,"{Baño,TV,Comida}"
559201,iscela@viajes.cl,76911,"Collado Villalba",Lorca,38,3361,122000,BoltBus,Cama,"{""Asientos reclinables"",TV,Calefacción}"
559216,soprba@viajes.cl,91902,"Pozuelo de Alarcón",GECHO!!!,35,1289,147000,"Buses Bio Bio",Cama,"{Comida,Wifi,""Aire acondicionado""}"
559220,srroceja@viajes.cl,85183,Gecho,Ferrol,44,1524,118000,"Omnibus de México",Cama,"{Comida,TV,""Asientos reclinables""}"
559221,rebeca3851@viajes.cl,98714,Ferrol,Valencia,39,3607,72000,"Buses Ahumada",Cama,"{""Asientos reclinables"",Calefacción,""Aire acondicionado""}"
559233,MartOAnalva@viajes.cl,3340,"Sanlúcar de Barrameda",SEVILLA!!!,38,1178,143000,"Primera Plus",Cama,"{Baño,Calefacción,TV}"
559235,vicente1876@viajes.cl,94782,Sevilla,"Collado Villalba",48,1738,136000,Alsa,Cama,"{""Asientos reclinables"",TV,Agua}"
559238,Rafaelterrazas@viajes.cl,75023,Valencia,ALGECIRAS!!!,37,2293,125000,Turbus,Cama,"{Comida,Wifi,Calefacción}"
559244,david8760@viajes.ceele,73162,Algeciras,Lugo,47,2076,61000,Damas,Cama,"{Comida,TV,Baño}"
559248,Mateopelayo@viajes.cl,43057,"Castellón de la Plana",Telde,41,2983,174000,Damas,Cama,"{TV,Wifi,Comida}"
559255,julio4678@viajes.cl,51142,Sagunto,Majadahonda,42,3404,194000,FlixBus,Cama,"{""Aire acondicionado"",Agua,Baño}"
559259,ramova@viajes.cl,50322,Majadahonda,Jaén,50,1974,136000,Plusmar,Cama,"{Baño,""Asientos reclinables"",Wifi}"
559264,dOobora535@viajes.cl,95625,Jaén,"El Ejido",46,2357,145000,Avanza,Cama,"{Agua,""Aire acondicionado"",Wifi}"
559278,vOAroma@viajes.cl,58691,Huelva,Córdoba,45,1655,88000,Damas,Cama,"{Baño,""Aire acondicionado"",TV}"
559279,LuisajuOerez@viajes.cl,92388,Córdoba,Alcorcón,37,1552,66000,Alsa,Cama,"{Wifi,Baño,Comida}"
559315,enrique2388@viajes.cl,64060,Torremolinos,FUENLABRADA!!!,33,3078,137000,ADO,Cama,"{""Aire acondicionado"",Agua,""Asientos reclinables""}"
559316,majosame@viajes.cl,64251,Fuenlabrada,Lérida,33,148,33000,"Buses Bio Bio",Normal,"{Baño,""Aire acondicionado"",Wifi}"
559366,Sr.puente@viajes.cl,39045,Córdoba,Estepona,39,2229,153000,Andesmar,Cama,"{Agua,""Asientos reclinables"",Wifi}"
559368,Sta.bustos@viajes.cl,96148,Badalona,Linares,30,486,102000,"ETN Turistar",Cama,"{Baño,Wifi,""Asientos reclinables""}"
559375,frriba@viajes.cl,98093,Linares,GANDíA!!!,36,4010,178000,"Buses Bio Bio",Cama,"{Agua,""Asientos reclinables"",Comida}"
559379,sonia467@viajes.cl,45192,gandía#,"ALCALá DE HENARES!!!",47,1339,102000,"Crucero del Norte",Cama,"{""Asientos reclinables"",Agua,Comida}"
559382,mateo3420@viajes.cl,33339,Córdoba,Oviedo,40,336,75000,"Estrella Roja",Normal,"{Wifi,""Aire acondicionado"",Calefacción}"
559386,elvira2066@viajes.cl,67310,Oviedo,Sagunto,41,2025,179000,Alsa,Cama,"{""Asientos reclinables"",Comida,Calefacción}"
559391,maruch@viajes.cl,43456,Sagunto,Algeciras,41,4148,105000,"Crucero del Norte",Cama,"{""Aire acondicionado"",""Asientos reclinables"",Comida}"
559392,Sta.mata@viajes.cl,65466,"Santiago de Compostela",Puertollano,34,3280,192000,Turbus,Cama,"{Agua,""Aire acondicionado"",Baño}"
559407,srracaco@viajes.cl,66262,Jaén,Córdoba,38,259,36000,JetSur,Normal,"{""Asientos reclinables"",Wifi,Baño}"
559431,begrza@viajes.cl,88234,Córdoba,Córdoba,37,546,124000,Turbus,Cama,"{Wifi,Agua,Baño}"
559432,federico8633@viajes.cl,87046,Córdoba,Gerona,31,1020,127000,Socibus,Cama,"{Comida,Baño,""Asientos reclinables""}"
559439,armando6407@viajes.cl,87498,Gerona,"Talavera de la Reina",41,1759,200000,Monbus,Cama,"{Comida,""Aire acondicionado"",""Asientos reclinables""}"
559440,anita9356@viajes.cl,61312,"Collado Villalba",Guadalajara,44,529,41000,"Estrella Roja",Cama,"{""Asientos reclinables"",Baño,""Aire acondicionado""}"
559443,srhomobe@viajes.cl,35430,Guadalajara,Alcobendas,32,2807,197000,Avanza,Cama,"{""Aire acondicionado"",Agua,Wifi}"
559444,Samuelarenas@viajes.cl,25688,Móstoles,Cádiz,38,1506,185000,Chevallier,Cama,"{Comida,Wifi,Agua}"
559445,OIszaro@viajes.cl,22744,cádiz#,"Hospitalet de LLobregat",32,2442,117000,Greyhound,Cama,"{""Asientos reclinables"",""Aire acondicionado"",Agua}"
559462,Sr.franco@viajes.cl,4160,Lorca,Ferrol,32,239,12000,Chevallier,Normal,"{Calefacción,""Asientos reclinables"",""Aire acondicionado""}"
559465,adgamu@viajes.cl,93463,Ponferrada,Cuenta,38,1967,58000,"EME Bus",Cama,"{Comida,Calefacción,TV}"
559471,Maricarmenmaldonado@viajes.cl,74299,Sagunto,Granada,38,3671,194000,Alsa,Cama,"{""Asientos reclinables"",Baño,Comida}"
559481,stsibacOI@viajes.ceele,67619,Cuenta,VALLADOLID!!!,38,4102,120000,"ETN Turistar",Cama,"{""Asientos reclinables"",Agua,Comida}"
559483,jorge8635@viajes.cl,83294,Valladolid,Cáceres,35,1395,111000,FlixBus,Cama,"{""Aire acondicionado"",Comida,""Asientos reclinables""}"
559503,germOen7524@viajes.cl,4662,Tarragona,Huelva,33,3758,65000,Megabus,Cama,"{TV,""Asientos reclinables"",Wifi}"
559553,Sra.rivero@viajes.cl,70374,Toledo,CALAHORRA!!!,33,3248,173000,Plusmar,Cama,"{Baño,TV,Wifi}"
559559,srdagrpe@viajes.ceele,16237,Burgos,BARCELONA!!!,47,986,90000,Turbus,Cama,"{""Aire acondicionado"",Calefacción,TV}"
559587,TimoteojimOAnez@viajes.cl,346,"El Puerto de Santa María",Badalona,49,4171,96000,"Primera Plus",Cama,"{Agua,Baño,""Asientos reclinables""}"
559595,razaji@viajes.cl,11594,"Dos Hermanas","Santa Coloma de Gramanet",40,3207,91000,ADO,Cama,"{""Aire acondicionado"",Baño,TV}"
559596,Ricardogaribay@viajes.cl,18992,Elda,"San Sebastían de los Reyes",35,3757,192000,JetSur,Cama,"{Wifi,Calefacción,Agua}"
559604,Antoniocollazo@viajes.cl,32462,"Torrejón de Ardoz",Fuengirola,31,4092,119000,"EME Bus",Cama,"{""Asientos reclinables"",Wifi,TV}"
