nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Sra. Mateo Calderón Alonso,sra.1996500@wass.com,Umlg0otFaC6vZun,srmacaal858,+56 9 4372 3304,,0,,,,
Marta Salas Orosco,masaor254@tourket.com,,Martaorosco764,+56 9 2143 7453,16352701,20837,,,,4
Sra. Víctor Caraballo Carbajal,Sra.carbajal674@marmol.com,W9O2slXcn0Y,Sra.carbajal724,+56 9 1136 1304,,,,,,
Sr. José María Solano Duran,,sNH6VoY23T5Y,sr.6302478,+56 9 8322 3192,24716350,,Nocturno,,Full time,6
Ariadna Garrido Bernal,argabe875@marmol.com,rbbJa573B,ariadna5518551,+56 2 4707 3635,,20144,,,,
,,12fcINx5,maliro758,+56 2 3889 5294,27912951,14439,,,,2
,Carolinafranco707@outluc.com,doa44jCGy,Carolinafranco664,+56 9 3024 1695,15144455,5685,,,,5
Octavio Otero Banda,,VMZxG3VEP,Octaviobanda819,+56 9 2471 3848,23352364,,Diurno,Colmena,Part time,K
Sra. María Elena Ceja Delapaz,sra.7859461@tourket.com,,Sra.delapaz627,+56 9 7309 0899,28687853,,,,,9
Silvia Zaragoza Angulo,silvia7626610@edubus.cal,UI4tdPUX,,+56 9 0331 3367,-10812858,4322,,,,5
Berta Rosales Manzanares,beroma509@wass.com,dD5JICIeMuJgPaL6,beroma967,,1538163,11530,,,,9
Sra. Cristobal Montero Ramírez,,pkUMLREEVxoA2h,sra.3548830,+56 9 3026 2310,3628972,0,,,,4
Rebeca Patiño Ruiz,rebeca1362244@viajesanma.com,oBNbvY9v,,+56 2 1683 1590,-12177193,306,,,,4
Sr. Josefina Lucero Flórez,Sr.flórez461@viajesanma.com,,srjolufl415,+56 9 6942 6977,6498516,0,,,,7
,maapde495@wass.com,Ygv1mzKVXV1,Marisoldelao873,+56 2 1825 9948,17662618,2949,,,,6
Ricardo Murillo Corona,,ISrX2DmOi02DRm,Ricardocorona376,+56 9 5908 6494,29851202,4470,,,,5
Tomás Quesada Vázquez,Tomásvázquez529@marmol.com,,toquvá665,+56 2 8681 3048,6921575,9727,,,,0
José Arce Montañez,Josémontañez841@edubus.cal,K4cOll59AV,josé2248326,+56 9 0720 8939,,970,,,,
Federico Reyna Gálvez,Federicogálvez952@viajes.cl,b1JDJqc01X,federico4723728,+56 9 6625 1613,-19127379,,Nocturno,Banmédica,Part time,6
Martín Olmos Cepeda,maolce304@viajes.cl,,maolce190,+56 9 9909 6110,16648109,,Diurno,,Full time,0
Rafael Guajardo Montoya,Rafaelmontoya852@viajes.cl,kshdQ3y7uF8BY4K,rafael3808677,+56 9 2338 9436,,,Nocturno,Colmena,Full time,
,antonia3866498@viajes.cl,5FcpPhtg7DMJ0g,,+56 2 9656 7903,25120735,,Nocturno,Consalud,Full time,6
Eva Laboy Posada,evlapo652@wass.com,,Evaposada889,+56 2 2045 6549,4048348,0,,,,9
Sr. Florencia Soto Luna,srflsolu390@viajes.cl,8OH7zR4WDQ0nRc,sr.1671374,+56 9 4554 9455,-15929760,,Diurno,Banmédica,Full time,8
Ariadna Carrillo Sanabria,arcasa652@marmol.com,7OUwpVsMODN,,+56 9 8546 1319,,0,,,,
,,hUIQ259ox,allova849,,5543699,,Diurno,Consalud,,1
Adriana Otero Ríos,adotrí469@outluc.com,,adotrí989,+56 9 7289 0034,15683900,0,,,,0
Rosa Pichardo Ceballos,Rosaceballos545@viajes.cl,mlBV5cSiIHG,Rosaceballos352,+56 2 5870 8243,-5003498,,Diurno,Más vida,Part time,4
Sta. Guillermo Marroquín Borrego,stgumabo565@viajes.cl,pV9ywQH1pKS,,+56 2 7597 5739,15793611,,Nocturno,Más vida,Part time,5
Sra. Eloisa Marín Melgar,srelmame468@marmol.com,,sra.1203862,+56 9 3304 5861,8101481,196,,,,7
Alfredo Estévez Alonso,alfredo5112229@viajes.cl,,alesal851,+56 2 8627 6053,16658731,,Diurno,Banmédica,Full time,K
Óscar Gallegos Palacios,óscar3400586@wass.com,tFPkb8Ey3djk,Óscarpalacios860,+56 2 6399 2901,-11719776,-8084,,,,K
Gabriel Burgos Adorno,gabuad796@edubus.cal,l7GtsjJfaQXCFqf,Gabrieladorno216,+56 2 0278 0418,,0,,,,
Hernán Gurule Echevarría,heguec389@wass.com,rzRM2E1GkE,Hernánechevarría490,+56 2 7445 7643,,1600,,,,
Caridad Roldán Suárez,,oT2peydQI,carosu702,+56 9 5504 1410,23969229,0,,,,K
Jorge Luis Frías Bonilla,Jorgebonilla879@outluc.com,bAh7IRJFl3oZBq,jorge903966,+56 2 8802 9188,,2340,,,,
Salvador Godoy Nieves,sagoni828@viajes.cl,,sagoni955,+56 9 8508 5293,23245875,,Nocturno,Colmena,Full time,5
,escapa296@viajesanma.com,tx6BT4bhU67,esperanza5247641,,,12091,,,,
Fernando Tovar Lomeli,,jLK8J8GcGI3ssL,Fernandolomeli807,+56 9 0442 3253,21104287,0,,,,7
Sr. José María Nevárez Muro,sr.8467531@viajes.cl,,srjomanemu444,+56 2 8689 0549,27379418,,Diurno,Banmédica,Full time,2
Silvia Cerda Caraballo,,4Pv0rgDEsVF,silvia5319943,+56 2 5964 2581,23030103,,Diurno,Fonasa,Part time,4
Germán Vera Alvarez,,xRQ9lNB10,germán3643842,+56 2 7238 5954,9708917,7691,,,,5
Martín Agosto Esquibel,Martínesquibel775@viajes.cl,JA4Lk8oSycAP,maages396,,7153206,,Diurno,Fonasa,Full time,2
Sta. Catalina Vélez Botello,stcavébo386@wass.com,bD9eXfkz5my,sta.4493845,,7566393,12949,,,,5
Ester Medina Segura,Estersegura683@wass.com,aXVNuDT6NR5,,,16703935,,,,,9
Gilberto Griego Mejía,,1boaKu4JinYE,gilberto1483464,+56 9 6925 1193,4681565,-14284,,,,3
Sra. Andrés Barragán Caballero,sra.3998257@viajesanma.com,,sra.486330,+56 2 2637 5362,4523880,-265,,,,6
Eva Cabrera Prado,evcapr784@marmol.com,,Evaprado927,+56 2 7607 1480,11102867,0,,,,2
Florencia Griego Jaime,flgrja317@viajes.cl,odqfdKHZ0m,,,2383206,,Nocturno,Banmédica,Part time,2
César Pagan Tejeda,cépate804@viajes.cl,2hQTSKNnLWcPe7u,Césartejeda917,+56 9 6011 9884,,,Diurno,Fonasa,Full time,
Marco Antonio Colón Rascón,maancora809@tourket.com,PHhG2jToQLS,,+56 2 6865 6793,27587900,12719,,,,2
Santiago Carrero Benítez,sacabe132@viajes.cl,CA5w11mLDrALpK,,+56 9 2317 6114,23402619,,Nocturno,Fonasa,Full time,4
Carla Tejeda Delvalle,carla6417310@outluc.com,O667kpyGWcl2,carla7001818,+56 9 2682 5956,,2925,,,,
Elena Lucio Roque,elluro351@edubus.cal,Ktz4jGgKj,,+56 9 1046 6125,17019993,7277,,,,6
Sra. Esperanza Fonseca Vanegas,sra.2450312@wass.com,,sresfova416,+56 2 9040 6261,6066124,0,,,,3
,Estebanjiménez364@tourket.com,dQTxLOMYtq5MSY,esteban3749203,+56 2 5647 1715,,3384,,,,
María Reynoso Lucio,Maríalucio404@viajes.cl,,maría8831149,+56 9 2222 4024,18493265,,Diurno,Consalud,Full time,2
Sra. Julio César Pedroza Botello,srjucépebo698@edubus.cal,7Mjc1anIGYAt,sra.2315833,+56 2 6037 8063,,,,,,
Alejandro Nevárez Páez,alejandro997823@viajesanma.com,,,+56 2 2185 2318,8045351,580,,,,5
Federico Saucedo Pérez,fesapé914@viajes.cl,6YfHam7YLH29V,federico7268947,,18805412,,Nocturno,Colmena,Full time,9
Sr. Elisa Armijo Mata,sr.2210562@outluc.com,BntAiYFgtZ1R2x,srelarma160,+56 9 4072 2299,-2361962,6550,,,,8
Enrique Banda Pantoja,enrique8963146@viajes.cl,orcmdBq8Q,enbapa739,+56 2 2262 2112,,,Diurno,Colmena,Full time,
Sr. Manuel Armenta Marroquín,sr.8601983@marmol.com,Ti4SA5Ql2ZhGg,srmaarma423,+56 2 9495 1590,,10671,,,,
Ana Gómez Gamez,ana570903@edubus.cal,r34THuVqLsG,Anagamez258,+56 2 0082 5458,-9538427,9092,,,,7
Mariana Alaniz Haro,Marianaharo153@wass.com,jm3Kay2dMdxblT,Marianaharo601,+56 2 1208 2986,-8555662,8577,,,,2
Gerardo Viera Niño,Gerardoniño597@viajes.cl,,gerardo4977871,+56 9 0321 8858,8607437,,,Consalud,Part time,0
María José Medrano Meza,Maríameza143@viajes.cl,kU6SVcliGDlki8,maría8239214,+56 2 6974 5480,-25272307,,Nocturno,Más vida,Full time,2
Elena Feliciano Arenas,,9SOn7ceG,elfear218,+56 2 0993 0949,12181560,,Diurno,Consalud,Part time,5
Patricio Barraza Serrato,Patricioserrato534@viajes.cl,5M7HP3emA,Patricioserrato233,+56 9 7195 5876,,,Nocturno,Fonasa,Part time,
Jorge Báez Iglesias,Jorgeiglesias178@wass.com,qK5VYvIlu9x,,+56 2 0775 9342,13792707,9709,,,,1
,vícaac375@outluc.com,Gs7NqmKcIM5ZQ4Y,víctor2548273,+56 9 7411 1713,2723622,0,,,,7
Sta. Samuel Ávalos Garrido,Sta.garrido707@outluc.com,,Sta.garrido806,+56 2 8777 4312,,3639,,,,
Hernán Abreu Padilla,hernán4823795@viajes.cl,n6GnNFddjudMEaaD,Hernánpadilla380,+56 9 4604 3037,,,Nocturno,Consalud,Part time,
Roberto Abrego Casares,,,roberto1681636,+56 2 6093 7787,19511238,1449,,,,K
José Emilio Acevedo Angulo,joemacan775@outluc.com,78zTI6J71Sm6x,Joséangulo886,+56 9 6526 0083,,0,,,,
Fernando Anaya Ojeda,,,feanoj756,+56 9 5271 9310,10760925,,Diurno,Consalud,Full time,3
Mariano Dávila Cotto,madáco873@wass.com,GxR8yMidzjD7d3,mariano7473889,,29370532,2108,,,,1
Sta. Timoteo Piña Montenegro,sttipimo925@marmol.com,T6hUHWmr6c,Sta.montenegro857,+56 9 0274 0277,,10793,,,,
Salvador Regalado Alfaro,salvador3854627@edubus.cal,i2aiEHXQ16Tq,salvador6864460,+56 9 0285 8879,,1335,,,,
Gilberto Herrera Montemayor,Gilbertomontemayor946@outluc.com,yHEtt4wnt,gihemo365,,5518036,532,,,,9
Lourdes Alarcón Longoria,loallo917@marmol.com,,,+56 9 4441 6729,17706919,-820,,,,1
Marco Antonio Heredia Toro,Marcotoro670@outluc.com,cEXAWQ7n1KAesTjH,,+56 9 9338 2971,23132004,0,,,,0
Sra. María Rodríguez Ocasio,,RT4VmBA1ag,srmarooc915,+56 9 4842 6665,18861904,0,,,,5
Irene Rosales Carrasquillo,Irenecarrasquillo380@marmol.com,3nYJYneg,irene9709419,+56 2 4400 5806,,7217,,,,
,Fernandobarrientos856@viajesanma.com,5nuWk2di6o,fernando690461,+56 9 2424 0536,22719234,0,,,,8
María Elena Contreras Delacrúz,Maríadelacrúz753@marmol.com,,Maríadelacrúz790,+56 2 8104 7055,22558522,30653,,,,9
Nicolás Pagan Alcaraz,nicolás139458@viajesanma.com,rjcO2qprSvXk2Ah6,nicolás3589131,+56 2 3142 8096,-7267366,0,,,,2
,ana2948995@wass.com,ud9zDCVTld,Anaotero717,+56 2 2612 8632,27760937,0,,,,1
Rosario Gollum Gutiérrez,Rosariogutiérrez813@tourket.com,xpb8lkDWfQ,Rosariogutiérrez217,+56 9 6876 7469,-29763799,2818,,,,1
Eduardo Paz Prado,Eduardoprado743@tourket.com,,Eduardoprado812,+56 2 5303 9770,28124164,12446,,,,8
Margarita Carbajal Delatorre,Margaritadelatorre248@tourket.com,hZI2Jct5WXF2,macade971,+56 9 5718 3822,,0,,,,
Eva Ávalos Báez,Evabáez338@tourket.com,,eva6652277,+56 2 3660 3053,25694097,19155,,,,3
Sra. María Teresa Tapia Gaona,,n5hWXtgTbEdzAP4,srmatetaga513,+56 2 9171 5611,11383478,,,Fonasa,Full time,1
Francisco Orosco Tirado,Franciscotirado826@wass.com,0KhNqfSM1I5N3cKZ,Franciscotirado868,+56 9 3021 1657,,2325,,,,
Julio César Mares Loera,,eSiqoDO6wsUe,jucémalo655,+56 2 9567 2698,-15236405,23686,,,,9
Carla Valdivia Araña,,Wv0ZS20i,cavaar863,+56 9 9373 1802,16069450,317,,,,5
Sr. Blanca Peña Grijalva,sr.7218730@viajes.cl,ltnllg0NZbaAd,srblpegr670,+56 9 0279 0671,,,Nocturno,Más vida,Part time,
Sta. Lorena Borrego Ruelas,,vE9PQIKV4i,sta.7639701,+56 2 6895 8397,-11349190,8499,,,,6
Sra. Mario Cruz Berríos,Sra.berríos215@outluc.com,,sra.381490,+56 9 4069 4649,4006246,,,,,7
,Déboraduran581@viajes.cl,366PBo5OW9Cetl,débora4099707,+56 9 1463 2126,23353947,,Nocturno,Más vida,Part time,3
María Luisa Menchaca Soliz,maría4964879@edubus.cal,5W24vqk2vdhxhp,malumeso558,+56 2 2899 4782,,24294,,,,
Catalina Solorio Reyna,casore688@viajesanma.com,,casore270,+56 9 6179 0217,29735930,3510,,,,4
Soledad Reyna Alarcón,soledad7424728@viajesanma.com,jmZoJMT0,soreal248,,5608526,3069,,,,2
,gaespa176@edubus.cal,BPBuJWf6H,gaespa929,+56 2 1616 6944,23916995,2918,,,,3
Patricia Orosco Menéndez,paorme766@edubus.cal,MctT08BLU,Patriciamenéndez732,+56 2 0550 6897,,1070,,,,
Julio Meza Polanco,Juliopolanco699@edubus.cal,uyMKf8H4iqLEf,jumepo818,,26009020,18753,,,,8
Sta. Víctor Muñiz Orosco,,OA3HaV0wKznr,stvímuor849,+56 9 6546 6306,16753743,0,,,,K
Sr. Agustín Villareal Medrano,sr.6139183@edubus.cal,,Sr.medrano252,+56 9 6131 8868,3582262,3051,,,,3
Sra. Roberto Magaña Alcántar,srromaal213@viajesanma.com,,,+56 9 5875 6137,1521517,5814,,,,8
,sraltacu152@wass.com,TPLljhdf7Sd,,+56 2 6909 2708,11385655,14654,,,,6
Amalia Zayas Orellana,,utWrWoF3bL0Q2PR,Amaliaorellana652,+56 9 1326 5411,23021465,3522,,,,4
Sta. Julia Peres Castellanos,sta.2076767@outluc.com,ZQfp3Ytk5wX4qV,stjupeca843,,16568412,13844,,,,5
Caridad Rangel Mercado,carame562@viajes.cl,HhXTde25tn0WIs,carame253,+56 2 4311 5764,-18613447,,Diurno,Consalud,Part time,8
Sta. Carmen Baeza Rocha,Sta.rocha539@viajes.cl,j5oIy9Lg8vDJF4,Sta.rocha961,,29128249,,Nocturno,Banmédica,Full time,0
Daniel Rolón Matos,daniel7623906@viajes.cl,ZXw8zES2,daroma376,+56 9 5591 5127,-17238825,,Diurno,Banmédica,Full time,6
Sta. Alfredo Casares Casares,sta.3774941@edubus.cal,qhjXEIUWcMP3,stalcaca797,+56 9 0822 6251,,0,,,,
Eloisa Urías Acuña,Eloisaacuña117@edubus.cal,wZr0l5Yn,Eloisaacuña207,,,0,,,,
,secaal700@edubus.cal,At5o13GSWJAEgpz,secaal821,+56 2 2434 2348,20012003,0,,,,5
José Luis Caballero Villareal,,cuVKDEZf6yvl6gr9,Josévillareal872,+56 2 5877 0683,9737395,11930,,,,7
,fecoze683@outluc.com,GJ4vaKkH7xltloS1,Federicozelaya744,,7638603,14187,,,,K
Débora Ruelas Tejeda,,CR2cBquAZ,dérute971,+56 9 6668 7544,8255494,6793,,,,7
,saarec726@outluc.com,bjn0loZJ,sara3644140,+56 9 1085 5800,16570401,0,,,,0
Josefina Chapa Cardona,josefina3559243@edubus.cal,e3HkSmhLQa14G,,+56 9 7590 7452,29908855,7266,,,,3
María Cristina Flores Lovato,Maríalovato218@viajes.cl,pShh46jZoqNAD8,,+56 9 0841 1988,6822313,,Nocturno,Fonasa,Part time,K
María Soledad Merino Roldán,maría4122370@viajesanma.com,DOKDLj9sGHlD6cq,maría8062666,+56 2 2153 2264,,0,,,,
Marilu Nieto Concepción,Mariluconcepción320@tourket.com,J6KzppsF,,+56 2 6775 2767,3494549,0,,,,7
,,sFkCkFc5x,gogiad530,+56 9 2560 7728,18175891,9412,,,,0
Carolina Padrón Borrego,Carolinaborrego238@marmol.com,pmRhJwjO1B,Carolinaborrego306,+56 2 8490 6253,,,,,,
Mateo Borrego Arreola,maboar638@tourket.com,,maboar314,+56 9 1355 6711,15045306,2816,,,,2
Gregorio Jaramillo Iglesias,grjaig399@viajes.cl,SE1VVlONK9qjmt,gregorio7436961,+56 9 3744 7347,-17894590,,Diurno,Consalud,Full time,4
María Eugenia Matos Soria,maeumaso244@viajes.cl,BOlslyG40Y8,maeumaso929,,16395413,,Nocturno,Banmédica,Full time,3
Silvia Cabrera Nava,silvia8550653@marmol.com,nvVW3ioOh,,+56 2 4381 6537,4632610,4811,,,,5
Marcos Espinal Alcántar,maesal112@edubus.cal,VI4prpeNUx,,+56 9 7498 4771,9725622,4876,,,,5
Patricia Collado Almonte,patricia2243343@tourket.com,sYjGDW9hIXGckYR,Patriciaalmonte954,+56 2 4418 5043,,14949,,,,
Florencia Bravo Villareal,Florenciavillareal940@viajes.cl,n1VGlAagudRd,flbrvi175,+56 2 1251 1187,,,Diurno,Más vida,Full time,
Sra. Alejandro Cordero Sierra,Sra.sierra894@outluc.com,1szi62SxNK,sra.3984926,+56 2 5476 3319,-25376976,6034,,,,9
Pablo Salas Salazar,pablo6484534@viajes.cl,XiawOCB3,,+56 9 7183 7027,23754391,,Diurno,Colmena,Full time,2
Guadalupe Acevedo Camacho,guadalupe9639467@tourket.com,0stknOhT,guacca511,+56 2 3471 5319,,19745,,,,
Mateo Navarro Corona,manaco947@edubus.cal,wnjpl8IKk3fB,mateo9760883,+56 9 5240 2267,-11928365,379,,,,5
Sergio Téllez Alvarez,Sergioalvarez894@wass.com,os10WkHPrEW1j,sergio2281807,+56 9 8718 3327,-20855608,7576,,,,8
Ricardo Rosario Lebrón,,q5RbqNP5l8,,+56 9 9802 6146,7245708,4557,,,,0
Sara Vélez Varela,Saravarela138@viajes.cl,pxAR6uJv5Ti0ip,,+56 9 1662 1040,22697001,,Nocturno,Fonasa,Full time,0
Sra. Lourdes Bustamante Domínquez,srlobudo327@viajesanma.com,AAw3mtpT5iP2kY,sra.6692734,,2807714,125,,,,9
Diana Bueno Ochoa,dibuoc466@outluc.com,hGedxnTB6qkFL6YA,dibuoc562,,10324012,5089,,,,3
Sonia Meraz Pulido,somepu618@tourket.com,,somepu396,+56 9 8478 9520,15781775,9984,,,,2
Micaela Arevalo Becerra,miarbe677@viajes.cl,cByo19txm,,+56 2 6595 1668,-4289412,,Diurno,Más vida,Part time,5
Lorena Garica Lara,lorena6007301@marmol.com,E1Xbu6FlHx9Cl3kM,,+56 9 2895 6948,26611431,6701,,,,1
,elcece245@marmol.com,EmR8GZ6s3C,Elviracepeda320,+56 9 0427 3579,11482976,15453,,,,5
Cristian Mejía Camarillo,,Pt87AFC8yv4Wx,crmeca232,+56 2 6393 2316,12360875,19586,,,,5
Sta. Gilberto Loera Mendoza,sta.6708100@viajes.cl,lCDQG0dbW,stgilome519,,14541115,,Diurno,Fonasa,Part time,7
María del Carmen Limón Barragán,,VDWW80Z5aabmsG,madecaliba417,+56 2 6908 9745,6921485,0,,,,1
Sra. Elisa Villanueva Duran,,ccd24KbIhXTrqt,srelvidu208,+56 2 8710 5055,27469606,2095,,,,0
Tomás Peña Galarza,Tomásgalarza652@viajes.cl,,,+56 9 7541 1930,11153001,,Diurno,Consalud,Part time,7
Ignacio Baca Ayala,Ignacioayala521@edubus.cal,,igbaay766,+56 9 0417 1408,27883327,0,,,,5
,josé6262364@viajes.cl,DFLjGVDaaVhFM7,Josémelgar276,,29621419,,Nocturno,Más vida,Full time,1
Sr. Ana María Cervantes Guevara,Sr.guevara786@marmol.com,,sranmacegu279,+56 2 5414 0866,13073689,0,,,,0
Alejandro Puga Barrera,alejandro7010506@viajesanma.com,36HTeOBq,alejandro6314250,,25341219,3406,,,,4
Cristina Gálvez Pérez,,5THOeH7LAH,crgápé328,+56 2 3510 0579,20110192,11245,,,,1
Hernán Correa Córdova,hernán5043491@wass.com,,Hernáncórdova937,+56 9 3388 1431,17312528,12327,,,,3
Miguel Malave Acosta,miguel1475927@viajes.cl,,miguel8291511,+56 2 0101 3921,-19233389,,Diurno,Banmédica,,K
Marisol Montero Tello,Marisoltello847@tourket.com,Jp749L5456tW9E,,,9822843,18934,,,,8
José Luis Bétancourt Saldivar,josé8124366@outluc.com,UW8bgb3QKY,,+56 2 1246 6450,29041862,1239,,,,3
Sta. José María Brito Miramontes,sta.5091745@viajes.cl,L6X5ukAyIKtl2x,,+56 2 6850 6160,5738129,,Diurno,Fonasa,Part time,9
Gilberto Burgos Hidalgo,gibuhi919@wass.com,rXYmmfre6t9nF,,,16039462,0,,,,5
,lesama482@viajes.cl,11jbopAl6CrIpoL1,leonor2838828,+56 9 2224 6928,3070790,,Nocturno,Colmena,Full time,7
Daniel Irizarry Barreto,,W1xGiFfgp2,dairba456,+56 9 0151 4620,1717261,,,,,1
Samuel Villa Aguilera,saviag794@viajes.cl,piA51p55,,+56 9 3472 4150,,,Diurno,Fonasa,Full time,
Salvador Beltrán Nevárez,Salvadornevárez763@viajes.cl,J2KC30fMR9ylG,sabene685,+56 9 7634 5141,-15625016,,Diurno,Consalud,Full time,3
Esteban Lebrón Reyna,esteban6021415@edubus.cal,x3RQc1fq,esteban1568550,+56 2 9697 2511,,16283,,,,
Sta. Susana Aragón Robles,,0U62k2uz,Sta.robles301,+56 9 6543 5567,26006240,0,,,,9
Sta. Esperanza Casas Alcala,Sta.alcala107@viajes.cl,FbU3kA0a8,,+56 2 6724 0003,5259870,,Diurno,Fonasa,Full time,2
María Polanco Negrete,mapone321@viajes.cl,mWSgI4Q0DhZU,Maríanegrete121,,18665084,,Diurno,,Part time,0
Claudio Mascareñas Salcido,,7LwU5hgR4xluMQ,claudio6584922,+56 2 6914 9514,19708381,,Diurno,Banmédica,Full time,6
Eduardo Hinojosa Narváez,edhina669@viajesanma.com,7nQv1fFQuycrz3W7,Eduardonarváez123,+56 9 2034 0812,-11163276,9189,,,,6
,Juansaldaña674@tourket.com,5smvfG1B,jucaolsa400,+56 9 2746 5057,7747910,1479,,,,4
,,bHX6rrrvOkaYPS,,+56 2 5992 3821,14147367,0,,,,0
,Déboralimón727@viajes.cl,FZu00QddK,déolli758,+56 9 4164 7733,18645565,,Diurno,Colmena,Part time,7
Sta. Juan Carrera Gallardo,stjucaga988@viajes.cl,7ApyzENPtCNzL,stjucaga775,,15264854,,Nocturno,Banmédica,Part time,5
Jorge Lozano Quintana,joloqu863@viajesanma.com,,joloqu927,+56 9 3553 5819,13223095,5366,,,,1
Octavio Fuentes Reynoso,octavio3991869@outluc.com,y3HH84wJJjDn,Octavioreynoso336,+56 9 9027 9429,-19321464,6760,,,,9
,mahemo184@outluc.com,,mayte296690,,4003222,4420,,,,3
Sofia Quiroz Torres,soquto591@marmol.com,05s9TBpMm,soquto769,+56 2 5174 8503,,18932,,,,
,Sr.guerra570@viajes.cl,xd1N6DQOe7hH6,srdivegu514,+56 2 7358 4686,27147874,,Diurno,Banmédica,,7
Olivia Elizondo Estrada,,VfORalk1xYCjx9,olivia9083558,+56 9 7306 3788,,9497,,,,
María Eugenia Garica Sepúlveda,maría165242@viajes.cl,i7UlZ2Uv5,maría6852300,+56 9 6071 1604,-26232799,,Diurno,Colmena,Full time,K
Sra. Josefina Barela Chavarría,sra.3055392@tourket.com,1CCRlx7kcv,,+56 2 9440 5081,15117074,2424,,,,9
Andrea Munguía Casas,,NM3A82FptK5BDas,,+56 9 1471 3034,7210463,24321,,,,3
,stjucacagu926@viajesanma.com,qPJlGrdicql9gwF,sta.2865144,+56 9 2637 4010,5961724,0,,,,9
Sra. Luis Miguel Santana Salinas,Sra.salinas627@viajesanma.com,,sra.3117973,+56 2 6308 2608,14713666,10638,,,,8
Claudia Delvalle Nieves,Claudianieves858@wass.com,B4ZEqkyQ7aJ,Claudianieves893,,12433900,0,,,,6
,,l2acArIEVf2,Beatrizaranda111,+56 9 7194 5707,26138875,0,,,,8
Maricarmen Partida Quiñónez,Maricarmenquiñónez273@marmol.com,NrFtNMx8N,,+56 9 3468 1581,14054094,4628,,,,3
Carlota Cruz Barraza,cacrba774@wass.com,MWlJE8PkS7tfqH,,+56 9 5422 4080,24940538,,,,,8
Gustavo Rojas Rojas,,XtZtkLp39c2Bu,guroro853,+56 9 1950 6842,3250895,-1161,,,,2
Andrés Delgado Flórez,Andrésflórez499@viajes.cl,R4cnr76M,,+56 2 9889 3427,2840494,,Diurno,Consalud,Part time,8
Maricarmen Gastélum Garibay,Maricarmengaribay161@viajes.cl,6keNZbAd,Maricarmengaribay441,+56 2 5364 1366,,,Diurno,Más vida,Part time,
Sta. Ángela Urías Arguello,Sta.arguello397@marmol.com,CibO1Yvd6f,stánurar636,,20274860,,,,,0
Micaela Niño Urías,Micaelaurías565@marmol.com,xR16dq0hMlV,,+56 2 7994 6927,20534532,2388,,,,9
,Sr.alonzo115@outluc.com,3Exe6UFUhL08yVjn,sr.3172651,+56 9 2740 2958,29134151,17059,,,,9
Sta. Blanca León Lebrón,sta.6452961@viajes.cl,yJhca7FmvFr3i5,stbllele696,+56 2 8347 7314,,,Diurno,Banmédica,Part time,
,luulva107@viajes.cl,TKtgzj59,luulva953,+56 9 3335 3985,876589,,Diurno,Colmena,Part time,8
Marcos Alemán Carrero,,,maalca337,+56 2 1785 3462,19736553,10286,,,,6
Isabela Portillo Leiva,Isabelaleiva273@outluc.com,YtLuDF3ed,Isabelaleiva561,+56 2 2687 1037,,12074,,,,
Sra. Octavio Concepción Maya,sroccoma170@viajes.cl,5YbVb1Rz,sra.123968,,10945016,,Diurno,Colmena,Full time,2
Jerónimo Perea Gonzales,jepego479@marmol.com,7K8G1q7VGnfAQB1,,+56 9 9277 2828,6346058,2643,,,,3
Lorena Olmos Granado,Lorenagranado808@viajes.cl,g7ggyjKoUQO81n4R,Lorenagranado570,+56 9 3755 3028,,,Nocturno,Fonasa,Part time,
Margarita Luna Arredondo,Margaritaarredondo953@edubus.cal,Xc2zsMeGdD5h,maluar965,+56 9 9156 5172,,5914,,,,
Guadalupe Robles Hernández,,BByfOC9vGz3,gurohe758,+56 9 3167 9314,17966615,6832,,,,4
Sr. Ariadna Valadez Sosa,Sr.sosa931@edubus.cal,,srarvaso366,+56 2 2870 2519,26644797,0,,,,3
Sta. Francisco Castillo Duran,sta.6994559@tourket.com,4vV5sstEC7L5AGOO,Sta.duran499,,19809185,726,,,,5
Rocio Castro Escobedo,Rocioescobedo268@tourket.com,07vUjM9iKwlQDQ8,rocio1350798,,2192193,,,,,9
Lilia Corral Cardenas,Liliacardenas684@wass.com,,licoca720,+56 9 7689 0842,-29595258,20359,,,,K
,geprlo746@wass.com,,,+56 2 9410 7660,8134071,46819,,,,4
Felipe Hinojosa Alonzo,fehial649@viajes.cl,WOMyiErTh8EkgCC9,felipe2245489,+56 2 9732 8673,,,Nocturno,Banmédica,Part time,
Dolores Saucedo Valentín,dosava250@tourket.com,FrmcFct4O6qP,dolores862874,+56 9 0879 4874,,0,,,,
,flvave980@viajes.cl,cJBhRTcec5,flvave675,+56 9 4102 1765,16120022,,Diurno,Banmédica,Full time,0
,humaca291@viajes.cl,ZPpAK9Iv,hugo1102194,+56 2 1594 3099,27025853,,Diurno,Más vida,Full time,0
Germán Padrón Rentería,gepare579@viajes.cl,,gepare603,+56 2 8437 0141,2376410,,Nocturno,Colmena,Part time,5
,Virginiaceja502@tourket.com,K7a3VWCILxqxGbmz,virginia9736768,+56 9 9944 8336,29843443,-5496,,,,1
Lucas Mejía Duarte,,ubq9FGpGELlKl,lucas7946971,+56 2 0626 9218,15903141,,Diurno,Banmédica,Full time,1
Jesús Marín Delacrúz,Jesúsdelacrúz265@marmol.com,xj6ZoQ5V6XtFkM,jesús7161512,,4003774,0,,,,8
