nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,puntos,codigo_agenda,etiqueta,codigo_reserva,fecha,monto,cantidad_personas
x,11476978,9,startaba@viajesanma.ceele,x,sbZrKqX3X3V3LRQ,x,1520,x,x,543203,2026-01-20,834000,6
"José Emilio Mota Briseño",23.478.335,1,josOo6932@tourket.com,joemmobr,b4pcsNRM,"+56 2 1764 4806",1411,63529,Aniversario,543211,2025-03-03,480000,5
"José Emilio Mota Briseño",23.478.335,1,josOo6932@tourket.com,joemmobr,b4pcsNRM,"+56 2 1764 4806",1411,63529,Aniversario,543217,2025-08-17,415000,5
"Pedro Aguirre Sierra",6.043.751,3,pedro6719@viajesanma.com,Pedrosierra,lZJ72uU34L,"+56 2 4382 4230",6420,68252,Vacaciones,543257,2025-01-13,-600000,4
"Marcos Delrío Gaona",6163899,7,madega@@marmol.com,marcos301,YNbMI9F4,"+56 9 6547 1215",345,62255,"Cena de Trabajo",543281,2026-08-21,-492000,3
"Francisca Medina Rojas",22.712.440,7,frmero@outluc.com,Franciscarojas,Q6uAvfB6l2Fp,"+56 9 0468 5305",9287,67248,"Salida con Familia",543294,2026-01-11,1392000,8
"Francisca Medina Rojas",22.712.440,7,frmero@outluc.com,Franciscarojas,Q6uAvfB6l2Fp,"+56 9 0468 5305",9287,67248,"Salida con Familia",543307,2026-08-29,1040000,8
"Ernesto Serna Arredondo",x,2,Ernestoarredondo@viajesanma.com,x,x,"+56 2 3358 0817",1019,62642,x,543312,2025-01-05,408000,x
"Ernesto Serna Arredondo",13.638.182,2,Ernestoarredondo@viajesanma.ceele,Ernestoarredondo,LdZiGq2455QO,"+56 2 3358 0817",1019,62642,"Cena de Trabajo",543327,2025-01-16,504000,3
"Sr. Blanca Aranda Córdova",20717282,0,srblarcOI@edubus.ceele,sr.5405,zWb2QhUE,x,x,x,"Salida con Amigos",543363,2025-06-22,x,x
"Salvador Gálvez Alaniz",22600988,4,Salvadoralaniz@@marmol.com,salvador9926,foBkoGvFgUM210d,"+56 9 4989 5262",5396,65107,"Cena de Trabajo",543373,2025/11/01,-1504000,8
"Sta. Benito Fernández Delafuente",13.558.634,0,sta.7096@wass.com,stbefede,BnLxES3z4i,"+56 2 4341 8886",7822,72194,"Salida con Familia",543388,2025-01-02,525000,3
"Sta. Benito Fernández Delafuente",13.558.634,0,sta.7096@wass.com,stbefede,BnLxES3z4i,"+56 2 4341 8886",7822,72194,"Salida con Familia",543389,2025/06/19,348000,3
"Lorena Banda Piña",2301800,4,LorenapiO�a@wass.ceele,Lorenapiña,ExoNcX29qo7NAVp,"+56 2 0079 1051",5476,65363,"Salida con Amigos",543405,2025-10-24,-1260000,7
"Lorena Banda Piña",2301800,4,LorenapiO�a@wass.com,Lorenapiña,ExoNcX29qo7NAVp,"+56 2 0079 1051",5476,65363,"Salida con Amigos",543406,2026-04-09,392000,7
"Lorena Banda Piña",2.301.800,4,LorenapiO�a@wass.com,Lorenapiña,ExoNcX29qo7NAVp,"+56 2 0079 1051",5476,65363,"Salida con Amigos",543407,2025-04-10,-483000,7
"Enrique Orozco Santana",27.528.658,3,enrique2362@@wass.com,enorsa,JjLno3o4gtE,+56-2-7700-6941,949,65065,"Salida con Familia",543422,2025/03/12,300000,1
"Patricio Ayala Cuellar",685877,5,paaycu@@edubus.cal,Patriciocuellar,p4U9xEu2,+56-2-6234-1785,4413,67082,"Salida con Amigos",543424,2025-06-28,520000,4
x,x,x,esbavi@viajesanma.ceele,esbavi,XTJh9gtY3gM,+56-2-8815-4980,8963,x,"Salida con Amigos",x,2025-01-01,260000,2
"Lorena Jaramillo Zaragoza",28.438.496,2,lojaza@viajesanma.com,lorena8750,2P0QeS53dTFAya,"+56 9 3878 9241",5637,62729,Aniversario,543478,2026-01-24,585000,9
"Irene Cazares Razo",5.911.716,5,irene943@viajesanma.com,irene1466,C3eecvHsv1Y9QykI,"+56 2 4918 0148",2078,63735,Aniversario,543495,2025-04-25,896000,8
"Sra. Olivia Espino Zapata",27.395.195,4,sra.7292@wass.com,sra.4705,lELWVz4Di7,"+56 9 5807 9610",4721,66456,"Cena de Trabajo",543502,2025-07-23,416000,8
"Sta. Guillermo Cornejo Campos",9.661.905,7,sta.6520@marmol.com,Sta.campos,ypQ9dvFr9A6zJTC,+56-2-1501-8267,7669,67023,"Salida con Familia",543523,2025-09-23,976000,8
x,x,3,x,x,ZUCmkKErpkgE1a,"+56 9 2127 0557",8556,x,"Salida con Familia",543562,2025-04-08,-959000,7
"Miguel Valladares Paz",5.831.003,4,mivapa@marmol.ceele,mivapa,H5siEcJguY,"+56 2 1591 7692",2102,62111,Vacaciones,543566,2025/07/26,693000,9
"Sra. Clara Muñiz Otero",29779920,7,srclmuot@@viajesanma.com,srclmuot,LiNjQk5bGmLUY,+56-2-4500-1055,794,70379,Aniversario,543597,2025/01/30,297000,3
"Salvador Carreón Alvarado",19853401,3,sacaal@@wass.com,Salvadoralvarado,4AAApWXBcHT,"+56 9 4159 7363",7073,70409,Aniversario,543614,2025-02-17,-780000,5
x,x,x,x,Homeromelgar,n0SKf5mA,"+56 9 1610 1477",2463,66235,"Salida con Familia",x,2025-09-16,-786000,6
"Elvira Hernandes Montenegro",5.329.459,6,Elviramontenegro@edubus.cal,elvira6944,QcIo7N3B,+56-9-4151-4288,1645,61183,"Salida con Familia",543646,2025-03-31,628000,4
"Sta. Miguel Nava Gutiérrez",2.245.356,4,Sta.gutiOorrez@marmol.com,Sta.gutiérrez,T5RQh1mw,"+56 2 9559 0781",2176,67440,"Cena de Trabajo",543647,2025-04-09,1736000,8
"César Patiño Madrigal",22.856.630,6,cOosar2640@@wass.com,césar7015,ZtrmxOZA82tMwn1H,"+56 2 9131 3523",4576,71080,"Salida con Amigos",543655,2026/07/17,520000,8
"Clara Ybarra Tovar",17442385,7,clybto@@viajesanma.com,Claratovar,ze2jomupAqC6,"+56 9 1369 5171",917,62180,"Salida con Amigos",543680,2025-01-27,1528000,8
"Jaime Ayala Núñez",5387910,1,jaaynOU@@tourket.com,jaime3222,w3jYdI6Yt,"+56 2 7967 9484",3237,67993,Aniversario,543696,2025-02-08,330000,6
x,x,3,guniga@outluc.com,guniga,x,x,3118,68051,Aniversario,543710,2025-02-16,-121000,x
"Marco Antonio Ávalos Maestas",2120428,5,maanOevma@edubus.ceele,maanávma,x,"+56 2 5083 6797",x,x,x,x,2025-01-07,-959000,7
"Josefina Arreola Solano",x,x,x,x,FNVN9xo1wlrAd7sD,"+56 2 2478 1716",8702,67655,x,543732,2025/01/08,45000,5
"Graciela Nieto Espinoza",13.970.082,1,grnies@marmol.ceele,Gracielaespinoza,MxBDykj66TyP,"+56 2 0821 2147",186,70300,Aniversario,543738,2025-07-18,-150000,2
"Graciela Nieto Espinoza",13.970.082,1,grnies@marmol.com,Gracielaespinoza,MxBDykj66TyP,+56-2-0821-2147,186,70300,Aniversario,543744,2025/05/12,-376000,2
"Sra. Joaquín Concepción Jaimes",14699123,8,srjocoja@@tourket.com,srjocoja,85JuTlxQK,"+56 9 8806 3501",4342,68057,Vacaciones,543751,2025-01-01,530000,10
"Carlota Ortiz Muñoz",6984494,4,CarlotamuO�oz@outluc.com,carlota3706,HiErEiaAQ7,"+56 9 5888 1773",106,68493,Aniversario,543777,2025-02-22,1380000,10
"Irene Paredes Mota",3161683,2,irpamo@@edubus.cal,irene4514,8oZmAvYMtnP0,"+56 9 7251 4797",1376,64996,Vacaciones,543787,2025-07-09,-585000,9
"Sra. Joaquín Rangel Cadena",11.834.132,5,sra.7165@viajesanma.com,Sra.cadena,ELIZOa3rQ8r0ekJ,"+56 2 5779 8504",8749,62490,Aniversario,543825,2025-03-12,110000,2
"Verónica Granados Caldera",10.353.044,0,VerOInicacaldera@viajesanma.com,vegrca,JnD7MYByR01,+56-9-5247-3000,4685,64764,"Salida con Amigos",543833,2025-10-13,678000,6
"Verónica Granados Caldera",10.353.044,0,VerOInicacaldera@viajesanma.com,vegrca,JnD7MYByR01,+56-9-5247-3000,4685,64764,"Salida con Amigos",543834,2025/04/03,696000,6
"Francisco Rolón Ordóñez",7315984,9,FranciscoordOIO�ez@marmol.com,francisco9303,Wv2BqHC4d4M1KFRr,"+56 2 8112 4931",8233,65164,"Salida con Familia",543843,2025-06-14,3136000,8
"Francisco Rolón Ordóñez",7315984,9,FranciscoordOIO�ez@marmol.com,francisco9303,Wv2BqHC4d4M1KFRr,"+56 2 8112 4931",8233,65164,"Salida con Familia",543844,2026-06-24,1096000,8
"Hernán Lozada Barela",x,3,x,heloba,x,+56-9-0860-5030,3520,69482,x,543859,x,187000,1
x,27198434,x,agdose@wass.com,Agustínsevilla,x,"+56 2 6282 7496",2447,64045,"Cena de Trabajo",543892,x,x,2
"Mariana Muro Holguín",13294916,x,x,x,IvPGEtyuYaF20ka,"+56 9 7952 8634",x,70796,"Salida con Amigos",x,2025-03-27,-28000,1
"Mariana Muro Holguín",13.294.916,6,mamuho@tourket.com,mariana5905,IvPGEtyuYaF20ka,"+56 9 7952 8634",2095,70796,"Salida con Amigos",543899,2025-06-26,275000,1
"Rosa Delapaz Galván",12642097,8,rodega@@edubus.cal,Rosagalván,9ZOKs3T5K2En,"+56 9 1068 6439",248,66539,"Salida con Amigos",543903,2025-01-15,1120000,10
"Marcos Pantoja Magaña",5.744.613,7,mapama@marmol.com,marcos9710,8SD8ciffm,"+56 2 2579 3039",8703,64494,"Cena de Trabajo",543970,2025-01-31,189000,1
"Mónica Meza Sierra",2.233.715,7,MOInicasierra@viajesanma.com,Mónicasierra,pyLMo8NF,"+56 2 8510 2615",7476,70678,Vacaciones,543918,2025-01-14,314000,2
"Eduardo Quesada Macías",19518184,5,edquma@@tourket.com,eduardo6811,XEQiqAygX1i6YFcR,"+56 2 5515 2188",9556,69522,Aniversario,543933,2025-03-19,279000,3
"Eduardo Quesada Macías",19.518.184,5,edquma@tourket.com,eduardo6811,XEQiqAygX1i6YFcR,"+56 2 5515 2188",9556,69522,Aniversario,543935,2025-07-03,249000,3
"Carmen Osorio Rosario",17111288,x,x,caosro,x,"+56 2 1748 4973",4665,63164,x,543952,x,964000,4
"Rubén Saucedo Lozada",24.399.670,8,rubOon2548@edubus.ceele,rusalo,ruDTcnkM952Ps1W,"+56 2 8868 4600",2648,67103,Aniversario,543981,2025-09-18,216000,4
"Claudia Navarro Caldera",8406616,8,Claudiacaldera@@viajesanma.com,clnaca,U0Sqt64tNzr8ue,"+56 2 4840 2111",1877,70282,Aniversario,544034,2025-04-18,117000,1
x,2775821,x,Salvadorburgos@@wass.com,sasebu,dXg2cpnJJXB1,+56-2-0601-5656,3541,x,"Cena de Trabajo",544044,2025-06-15,x,x
"Sra. Cristina Piña Hernández",28396783,2,srcrpihe@@viajesanma.com,srcrpihe,125ScyEswFZTa9xN,"+56 9 4431 3560",1815,69061,Vacaciones,544061,2025/10/10,167000,1
"Sergio Concepción Yáñez",12444635,0,SergioyOeO�ez@wass.com,sergio4963,1NYXiwzSbxn5T,"+56 9 4874 2047",5892,64240,"Salida con Familia",544067,2025-10-08,1323000,9
"Manuela Delagarza Esquibel",12.847.504,4,madees@edubus.cal,Manuelaesquibel,KoTeQK1tTFh74kP,"+56 9 4398 0240",7570,67620,Aniversario,544076,2025-04-17,3241000,7
"Sr. Mariano Muñoz Quintana",9485407,5,Sr.quintana@@wass.com,srmamuqu,Vc17SNoiFjZb,"+56 9 2442 9190",2953,67341,"Salida con Amigos",544115,2025-05-23,968000,4
"Sr. Mariano Muñoz Quintana",9.485.407,5,Sr.quintana@wass.com,srmamuqu,Vc17SNoiFjZb,"+56 9 2442 9190",2953,67341,"Salida con Amigos",544120,2025-07-18,-480000,4
"Óscar Cervántez Puente",10297778,5,O�scarpuente@marmol.com,óscepu,W5Ksn30b,"+56 9 6990 0269",1510,65052,"Cena de Trabajo",544128,2026-04-20,288000,3
"Óscar Cervántez Puente",10.297.778,5,O�scarpuente@marmol.com,óscepu,W5Ksn30b,"+56 9 6990 0269",1510,65052,"Cena de Trabajo",544130,2025-07-05,240000,3
"Marco Antonio Olivera Cepeda",14.303.523,9,marco5983@edubus.cal,maanolce,p09xJOCNbFh,+56-9-9508-3905,3529,67833,"Cena de Trabajo",544136,2025-09-09,276000,3
x,13735630,9,Emiliotoro@@tourket.com,x,i7NVVaMBvRCr29R,x,x,64927,x,544143,2025-06-07,1475000,5
x,x,x,Emiliotoro@tourket.ceele,emcoto,x,"+56 2 8287 8156",x,64927,"Salida con Amigos",544146,2026-05-11,375000,5
"María José Jaramillo Mascareñas",26202006,1,MarOAamascareO�as@wass.com,maría5822,SLKSV0sha,"+56 9 4531 8414",8616,70374,"Salida con Familia",544167,2026-05-31,819000,9
"María José Jaramillo Mascareñas",26.202.006,1,MarOAamascareO�as@wass.com,maría5822,SLKSV0sha,"+56 9 4531 8414",8616,70374,"Salida con Familia",544173,2025-05-22,3249000,9
"Anita Peres Alarcón",8.483.489,0,AnitaalarcOIn@viajesanma.com,anita3752,4QRrY5Ctz,"+56 9 1478 9573",9113,65068,"Salida con Amigos",544187,2025/04/28,540000,9
"Sta. Manuela Franco Lira",1.543.163,x,x,x,zCJ6N09e2nzjTSz,"+56 9 6443 9968",3636,61280,x,544214,x,2394000,7
"Benjamín Bonilla Llamas",7510903,2,benjamOAn4724@tourket.com,beboll,ZGKhMse274,x,x,65749,x,x,2025/02/14,1000000,x
"Graciela Vélez Rico",x,3,grvOori@marmol.com,grvéri,bIZFeOrWj0Y9hNLd,"+56 2 8193 8956",x,68834,"Salida con Familia",x,x,580000,x
"Francisca Carrillo Cintrón",9.031.502,1,FranciscacintrOIn@edubus.cal,francisca3249,07Eb9dec2E,+56-9-5158-4555,6700,70826,Vacaciones,544253,2025-01-26,218000,2
"Emilio Loya Ramón",24.086.149,6,emilio9529@edubus.ceele,Emilioramón,NbqHJtC8Ezbs,"+56 9 8407 6553",6068,72162,"Cena de Trabajo",544258,2025-06-22,546000,6
"Lorena Padilla Ureña",11940768,0,LorenaureO�a@wass.com,lorena4109,JBP5lJNylOcnFJF,"+56 9 7110 2937",9326,66249,"Cena de Trabajo",544267,2025-10-07,234000,2
x,13885167,2,sra.9685@viajesanma.com,srgrpava,x,"+56 9 2915 6231",3224,x,x,544333,2025-01-29,2484000,x
"Santiago Casares Escamilla",29463840,7,santiago1928@@wass.com,sacaes,8C7eYa8ABRiK,"+56 9 8093 4978",1729,70120,Vacaciones,544357,2025-05-24,591000,3
"Sra. Diana Escalante Martínez",25.428.160,3,srdiesma@marmol.com,Sra.martínez,gp35upg7jBPZy,"+56 2 9229 0193",694,70814,"Salida con Familia",544393,2026-03-12,372000,4
"Lorena Madrigal Dávila",9565741,9,lomadOe@@viajesanma.com,lorena9266,Lz4a7mVqTi,"+56 9 9534 0069",418,70332,Vacaciones,544421,2025/02/14,414000,6
"Rosario Cordero Puente",24252559,0,Rosariopuente@edubus.cal,x,UF0QTiliEL7604,"+56 9 1606 4921",1663,x,"Salida con Amigos",x,x,1136000,x
"Sra. Florencia Chavarría Espinosa",29934102,0,srflches@@tourket.com,sra.4653,M7xpiX4B,+56-9-5783-0687,899,71333,Vacaciones,544427,2025/08/20,156000,3
"Bernardo Roybal Vigil",25.508.292,2,berovi@outluc.com,berovi,lkj7ZfLOaWAdt,"+56 9 9176 3224",2093,64229,"Salida con Familia",544433,2026-05-21,165000,3
"Hernán Piña Ulloa",x,6,hernOen7016@edubus.cal,Hernánulloa,7eZWPyzcSarx5HOk,"+56 9 3495 7866",4369,x,"Salida con Amigos",x,x,660000,x
x,x,0,x,bemaor,eJ9g1HDFLd,x,3647,65989,"Cena de Trabajo",544444,2025-02-07,539000,x
x,x,5,x,jucatran,HF7Y5e5a,"+56 9 2928 6244",x,64956,x,544454,2026-05-21,-1842000,6
"Sr. Concepción Corrales Guardado",16.476.482,6,srcocogu@edubus.cal,Sr.guardado,Md33r8YzEX0,"+56 2 4112 2911",5084,67679,Aniversario,544458,2025-10-31,1230000,6
"Sra. Marcos Banda Salas",7819460,0,Sra.salas@@marmol.com,srmabasa,Q6M7dSj8ZWe,"+56 9 7961 1437",5511,62201,"Salida con Amigos",544470,2025-04-10,160000,1
x,11.853.121,3,x,x,UyudB95Vlw3J,"+56 9 6136 5452",9115,70836,x,544520,x,360000,4
"Ramón Rangel Gracia",3303339,7,RamOIngracia@@wass.com,x,x,"+56 2 0540 7816",9532,x,"Salida con Amigos",544524,x,1944000,x
"María José Jaramillo Mascareñas",26202006,1,MarOAamascareO�as@wass.com,maría5822,SLKSV0sha,"+56 9 4531 8414",8616,71719,"Cena de Trabajo",544525,2025-05-29,700000,10
"María José Jaramillo Mascareñas",26202006,1,MarOAamascareO�as@wass.com,maría5822,SLKSV0sha,"+56 9 4531 8414",8616,71719,"Cena de Trabajo",544528,2025-05-06,370000,10
"María José Jaramillo Mascareñas",26202006,1,MarOAamascareO�as@wass.com,maría5822,SLKSV0sha,"+56 9 4531 8414",8616,71719,"Cena de Trabajo",544529,2025-01-10,4900000,10
"Ricardo Ulloa Matías",1.131.927,0,riulma@wass.ceele,riulma,oJre6LR7O,"+56 9 8323 0543",1054,63482,"Cena de Trabajo",544536,2025-03-19,-186000,3
"Sta. Alfredo Perea Chapa",14.967.186,2,sta.8796@wass.ceele,sta.3908,7d3tBltv4XMYozAu,"+56 9 7710 4920",4189,62948,Aniversario,544538,2025/01/02,-226000,2
"Jorge Luis Páez Mojica",22651992,0,jorge6664@@marmol.com,jolupámo,fPtcntZsuDXi6U,"+56 2 9277 5755",5524,62148,"Cena de Trabajo",544544,2026/04/29,3576000,8
"Cristobal Lomeli Alvarado",x,4,Cristobalalvarado@outluc.com,cristobal5684,Ya4ZRemVi,x,7774,x,Vacaciones,544547,x,1460000,x
"Enrique Sevilla Estévez",6418906,x,x,Enriqueestévez,R3Wn2k8xO,"+56 2 1215 8156",x,69696,Aniversario,544565,x,x,10
x,x,9,x,Enriqueestévez,x,"+56 2 1215 8156",4606,69696,Aniversario,x,2025-03-06,790000,10
"Enrique Sevilla Estévez",6.418.906,9,enrique184@tourket.com,Enriqueestévez,R3Wn2k8xO,"+56 2 1215 8156",4606,69696,Aniversario,544573,2025/01/14,1120000,10
"Ester Osorio Varela",19.878.024,3,ester7380@viajesanma.com,Estervarela,BIwxJAoL59qedtfL,+56-9-7905-6129,6803,68823,"Salida con Familia",544617,2026-03-15,117000,1
"Eloisa Valentín Duran",11.133.858,2,elvadu@wass.com,Eloisaduran,38Oh3nGP,+56-9-3056-7476,666,61483,"Salida con Familia",544636,2025-02-26,267000,1
"Manuel Delvalle Coronado",28.312.033,3,manuel607@tourket.com,madeco,UWrXdj4LYd,"+56 9 3535 6194",6294,70663,Vacaciones,544655,2025-08-30,402000,3
x,22401513,5,x,Ramirourbina,hK7g0uAi8,x,464,63002,"Salida con Amigos",544666,x,1169000,x
"Julia Rodríguez Ulibarri",22439287,7,juroul@@outluc.com,juroul,nUsyFgLRLfBFcx4H,+56-9-1615-9242,6678,62402,"Salida con Familia",544682,2026/07/14,-159000,1
"Sta. Juan Valenzuela Cabán",2649238,6,stjuvaca@@outluc.com,sta.5797,Oze4I4u90Ny,"+56 2 3904 0762",7535,68843,"Cena de Trabajo",544691,2025-07-09,342000,6
"Claudia Lozada Yáñez",8.005.200,6,clloyOe@tourket.com,Claudiayáñez,QHdoSDorj3,"+56 9 9379 3069",9330,70220,"Salida con Amigos",544778,2025-02-04,744000,4
"Claudia Lozada Yáñez",8005200,6,clloyOe@@tourket.com,Claudiayáñez,QHdoSDorj3,"+56 9 9379 3069",9330,70220,"Salida con Amigos",544786,2025/02/13,380000,4
"Verónica Reynoso Cerda",12.088.517,0,VerOInicacerda@wass.com,verónica7212,EyOU5uoJL6,"+56 2 6913 6828",7559,63693,"Salida con Familia",544801,2025/02/07,252000,3
x,7099320,1,x,cadoca,g8GVAeFi,x,x,64644,"Salida con Amigos",544805,2025/12/04,x,7
"Rocio Villa Portillo",15.386.341,5,Rocioportillo@viajesanma.com,rocio7984,VccQaWS9,"+56 9 4052 4492",5128,65205,Aniversario,544806,2025-08-13,1017000,3
"Alejandro Mejía Salinas",9.036.093,0,almesa@viajesanma.com,alejandro3249,VeU8WUnDfK5xdE,"+56 9 7795 8608",5813,70203,"Salida con Familia",544809,2025-03-27,189000,7
"Marta Zúñiga Juárez",25.256.098,0,marta5589@wass.com,Martajuárez,RSqacng91E,+56-2-3162-9106,6767,70904,"Salida con Familia",544818,2025-04-16,1372000,7
"Rocio Bravo Sauceda",2.767.152,7,rocio6645@viajesanma.com,robrsa,meTLWDsRq8XAQ,"+56 9 2804 7789",5251,67514,"Salida con Amigos",544834,2025-11-16,702000,9
"Magdalena Medrano Estévez",27160893,4,MagdalenaestOovez@@tourket.com,Magdalenaestévez,xtTzgaWTM5,"+56 9 4604 8401",9256,67832,Aniversario,544842,2025-07-25,182000,2
"Lola Castillo Valadez",4.949.774,1,lola9556@tourket.com,Lolavaladez,PRKm2v4Lbw,"+56 2 1961 7006",1871,62358,Aniversario,544852,2026/02/21,148000,1
"Sr. Claudio Flórez Chacón",8.159.222,5,Sr.chacOIn@viajesanma.com,sr.6106,6qadsBYKAZim74a,"+56 9 5896 6861",1735,67578,Vacaciones,544891,2025-10-10,2002000,7
x,x,x,Silviacarvajal@@marmol.com,x,rW3d17sKE7c7,"+56 2 9329 4121",6823,63737,"Salida con Familia",544916,2026-05-03,378000,x
"Sra. Pilar Rosales Valenzuela",17.382.759,8,Sra.valenzuela@tourket.com,srpirova,u0vjpSAHQCJgjmKK,"+56 2 0629 9621",317,63218,"Salida con Familia",544919,2025/01/13,565000,5
"Timoteo Fernández Ortega",17.921.492,0,Timoteoortega@viajesanma.com,timoteo6411,pi5siU3TSBAy,"+56 9 7268 6601",3134,68356,"Salida con Amigos",544923,2025/02/07,771000,3
"Lorena Rosario Chávez",x,7,lorena1866@marmol.ceele,x,x,x,1056,64732,"Salida con Familia",544938,2025-02-10,x,10
"Lorena Rosario Chávez",25.614.813,7,lorena1866@marmol.com,Lorenachávez,lagJwMYqT27TyAQ,"+56 2 9948 9129",1056,64732,"Salida con Familia",544939,2025/03/26,1730000,10
"Ana María Bonilla Zúñiga",6164209,9,AnazOUO�iga@edubus.cal,ana2804,p7e3tYcAmULBc,"+56 9 6903 0045",6021,70099,Vacaciones,544940,2025-09-16,420000,2
"Ana María Bonilla Zúñiga",6164209,9,AnazOUO�iga@edubus.cal,ana2804,p7e3tYcAmULBc,+56-9-6903-0045,6021,70099,Vacaciones,544941,2025-07-21,200000,2
"Ana María Bonilla Zúñiga",6164209,9,AnazOUO�iga@edubus.cal,ana2804,p7e3tYcAmULBc,"+56 9 6903 0045",6021,70099,Vacaciones,544942,2025/04/13,754000,2
"Ignacio Agosto Cantú",15.011.718,6,ignacio4706@marmol.com,ignacio3292,r2fbXOKzxJ2G,+56-9-0700-6458,2758,63765,Vacaciones,544956,2025-01-13,186000,3
"Tomás Tirado Cabán",6421634,1,tomOes7016@@viajesanma.com,Tomáscabán,ScF8y3rWX,"+56 9 7433 0428",8478,67119,"Salida con Familia",544969,2025-01-07,332000,2
"Patricio Sarabia Casillas",17848356,0,Patriciocasillas@@outluc.com,Patriciocasillas,VTGvp9idK6NwocPv,"+56 9 9081 8298",9303,62636,"Salida con Familia",544983,2025-03-18,136000,4
"Patricio Sarabia Casillas",17.848.356,0,Patriciocasillas@outluc.com,Patriciocasillas,VTGvp9idK6NwocPv,"+56 9 9081 8298",9303,62636,"Salida con Familia",544984,2025-05-12,692000,4
"Sra. Carla Orellana Carvajal",14.030.743,2,sra.8018@edubus.cal,sra.6566,UT0Nu9eZMk,"+56 2 5368 1599",4652,63373,Aniversario,545004,2025-01-12,-672000,4
"Carlota Concepción Anguiano",28.096.411,5,Carlotaanguiano@edubus.cal,cacoan,q1zPk1795Z9hy,"+56 2 3718 9066",9433,66359,Vacaciones,545040,2025-02-08,730000,2
"Mónica Valladares Valencia",25026065,2,MOInicavalencia@@edubus.cal,móvava,guS2Y6C2f,+56-9-1198-4643,7796,61859,"Salida con Amigos",545058,2025-08-11,-1130000,10
"Sta. María Cristina Godoy Figueroa",16.747.428,4,stmacrgofi@viajesanma.com,stmacrgofi,I2Ige552ezYr3RE,"+56 9 7697 7071",6025,68122,"Salida con Amigos",545069,2025/04/07,664000,8
x,26021901,x,x,x,Q3xY3r4TU1,"+56 9 8612 8260",4448,66806,Aniversario,545070,x,-1494000,9
x,26696504,4,sizajOe@outluc.com,sizajá,2LnBC7sCU2QL,"+56 2 1835 6410",678,70726,x,x,x,263000,x
"Sr. Alfredo Rosario Medrano",21447467,x,x,sralrome,VlUaTl93qp,"+56 9 8092 5511",x,69109,Aniversario,x,x,477000,9
"Lola Arredondo Crespo",27491206,5,loarcr@wass.com,Lolacrespo,x,x,962,67274,x,545119,2026-02-04,x,x
"Lola Arredondo Crespo",27.491.206,5,loarcr@wass.com,Lolacrespo,jZuM0FB340,"+56 2 9312 9236",962,67274,"Cena de Trabajo",545120,2025-01-23,1952000,4
"Rafael Tamayo Flórez",26.979.239,6,rafael3534@viajesanma.ceele,rafael8684,WZrSdoXAYYJn9L3,+56-9-4252-9342,2943,64442,"Cena de Trabajo",545124,2025-05-09,-1029000,7
"Agustín Puente Corona",29.488.429,7,agustOAn9040@tourket.ceele,agustín3992,GM7PKxgT4NSC,+56-9-1220-2063,4089,61223,Vacaciones,545137,2026-01-12,1030000,10
x,x,3,stfrtere@outluc.com,x,RjWAXArj5NV6N,"+56 9 9404 4823",8185,x,x,545143,2025-04-07,1072000,8
"Marcos Delrío Gaona",6163899,x,madega@marmol.com,marcos301,YNbMI9F4,"+56 9 6547 1215",x,x,"Cena de Trabajo",x,x,414000,9
"Alfredo Guerra Mendoza",13878220,4,alfredo2059@tourket.com,x,X9cUUdHDzLnkamR,"+56 9 5370 3162",5807,x,x,x,x,-1820000,10
x,24929323,x,x,srgapupo,x,"+56 2 8998 3571",6875,72094,"Salida con Amigos",545174,2025-12-28,740000,x
"Vicente Villaseñor Ceja",4.291.583,1,x,x,mCE8PzIGQXMzmW7l,+56-9-5105-0897,x,68909,x,545177,2026-05-17,1240000,x
"Elvira Abreu Blanco",21.393.601,x,x,elabbl,x,"+56 9 8005 9898",9194,x,"Salida con Amigos",545191,2025-10-06,x,2
"Lorena Padilla Ureña",11940768,0,LorenaureO�a@wass.com,lorena4109,JBP5lJNylOcnFJF,"+56 9 7110 2937",9326,72185,Aniversario,545216,2026-05-04,424000,4
"Lorena Padilla Ureña",11940768,0,LorenaureO�a@wass.com,lorena4109,JBP5lJNylOcnFJF,"+56 9 7110 2937",9326,72185,Aniversario,545218,2026-06-29,336000,4
"Lorena Padilla Ureña",11.940.768,0,LorenaureO�a@wass.com,lorena4109,JBP5lJNylOcnFJF,"+56 9 7110 2937",9326,72185,Aniversario,545219,2026-03-16,1252000,4
"Ignacio Leyva Peres",23168176,0,Ignacioperes@@edubus.cal,Ignacioperes,I55ntzGQXpV4WA,"+56 2 9967 3818",4022,63871,"Cena de Trabajo",545231,2025-11-04,675000,9
"Vicente Ruelas Salas",1.923.692,7,vicente1029@tourket.com,Vicentesalas,qqQ1iAdCep9C,"+56 2 9461 3666",7389,67729,Aniversario,545234,2025-07-07,608000,8
"Sra. Raquel Porras Loera",11.884.500,5,Sra.loera@viajesanma.com,sra.2062,NH5bTAogXfryG,"+56 9 7311 4302",2347,63118,"Salida con Amigos",545255,2025-09-29,325000,5
"Ariadna Páez Solís",3851292,7,x,x,kjPlPZ0vHDojonQw,+56-2-9569-9679,7810,61188,x,545266,2025-12-02,x,x
